Location,Sector,Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sept,Oct,Nov,Dec,Annual
Stow,Residential,2014,"129,073","114,569","99,249","55,774","27,304","14,037","11,232","11,384","17,623","34,611","72,345","113,380","700,581"
Millis,Commercial & Industrial,2017,"129,122","118,422","117,411","55,576","35,889","23,009","18,932","29,714","34,957","85,904","256,967","559,295","1,465,196"
Georgetown,Commercial & Industrial,2019,"129,625","108,346","93,832","48,778","29,032","17,303","14,437","14,968","18,470","39,282","80,896","108,166","703,135"
Ashby,Commercial & Industrial,2015,"13,002","13,250",512,"3,953","1,113",281,710,611,244,"3,285",7,"7,824","44,793"
Palmer,Residential,2013,"13,553","13,265","10,517","6,299","2,776","1,868","1,459","1,492","1,862","4,010","9,453","14,546","81,100"
Lancaster,Commercial & Industrial,2014,"13,823","12,635","11,086","4,914","2,868","1,564","1,330","1,534","1,596","3,376","7,431","11,228","73,384"
Granby,Commercial & Industrial,2017,"13,971","10,059","15,926","21,156","24,414","23,717","23,019","24,725","22,949","47,737","38,247","22,555","288,475"
Rowley,Commercial & Industrial,2014,"130,105","114,417","114,862","54,124","26,548","16,019","13,809","14,295","16,765","30,581","68,398","106,284","706,207"
Southwick,Commercial & Industrial,2017,"130,296","106,756","105,776","69,574","92,084","36,713","31,795","36,090","34,187","51,469","76,993","137,584","909,318"
Great Barrington,Residential,2014,"130,590","122,007","106,550","59,313","30,312","14,989","15,182","10,008","17,877","37,793","73,839","114,255","732,717"
Newbury,Commercial & Industrial,2018,"130,681","86,097","87,202","63,634","16,621","8,447","6,949","5,849","12,386","42,763","79,680","92,811","633,121"
Southwick,Residential,2017,"130,700","76,110","71,585","41,970","21,828","13,868","10,957","11,224","11,767","25,525","52,867","100,367","568,768"
Montague,Residential,2015,"130,755","132,049","101,699","48,606","15,536","11,873","10,238","9,529","10,267","33,591","52,999","8,623","565,765"
Norfolk,Total,2015,"130,898","129,495","56,545","42,587","22,396","14,131","12,192","11,511","14,076","34,164","57,355","89,878","615,228"
Auburn,Residential,2016,"131,125","133,345","103,191","64,705","33,779","15,964","13,111","12,194","15,639","42,319","80,993","139,465","785,830"
Mattapoisett,Commercial & Industrial,2018,"131,211","85,501","97,335","73,514","18,350","15,415","12,781","13,465","13,929","31,989","56,426","97,196","647,113"
Cohasset,Commercial & Industrial,2013,"131,219","124,416","108,204","64,654","34,505","21,331","18,641","20,526","23,211","39,396","88,992","132,480","807,575"
Dighton,Residential,2017,"131,467","72,721","66,759","41,190","21,850","12,614","9,817","9,879","10,825","22,869","49,090","90,692","539,774"
Newbury,Residential,2018,"131,506","87,275","101,005","67,353","27,145","18,870","14,076","14,345","16,926","47,667","82,311","108,238","716,718"
Cohasset,Commercial & Industrial,2016,"131,577","120,233","110,222","89,960","45,689","22,480","19,894","22,425","25,029","47,690","90,383","140,150","865,734"
Millis,Commercial & Industrial,2014,"131,635","17,771","83,582","50,276","27,431","26,577","17,454","16,576","19,712","39,946","73,553","147,814","652,328"
Hadley,Commercial & Industrial,2015,"131,985","136,090","174,449","90,252","43,816","32,884","31,392","29,548","31,478","58,499","85,607","55,179","901,180"
Newbury,Residential,2019,"132,056","108,119","95,869","56,967","37,768","20,724","13,824","15,467","19,173","40,888","81,732","111,212","733,801"
Hatfield,Commercial & Industrial,2018,"132,108","90,831","89,920","60,306","11,460","3,615","2,581","2,917","6,119","32,464","81,674","104,315","618,312"
Whitman,Commercial & Industrial,2016,"132,243","129,984","104,681","71,130","39,916","21,326","18,887","19,063","21,828","43,016","82,473","129,301","813,847"
Lunenburg,Commercial & Industrial,2019,"132,416","110,974","99,592","179,589","231,127","210,084","190,335","328,552","242,682","315,642","234,662","134,727","2,410,382"
Montague,Commercial & Industrial,2014,"132,729","150,986","158,258","86,196","57,647","43,523","42,514","41,024","49,948","63,519","104,529","123,000","1,053,873"
Newbury,Residential,2015,"132,770","132,443","105,881","54,732","25,142","19,937","15,060","13,605","16,306","40,075","52,414","69,615","677,980"
Westport,Commercial & Industrial,2019,"132,849","128,364","99,676","65,097","40,855","20,563","19,121","16,002","15,437","29,083","58,150","98,433","723,628"
Hanson,Commercial & Industrial,2019,"133,370","100,605","94,082","48,278","31,854","16,205","12,377","12,855","15,738","33,372","69,266","95,506","663,507"
West Brookfield,Total,2018,"133,392","88,752","97,403","70,019","35,348","31,829","33,057","34,152","33,999","58,183","89,925","104,462","810,521"
Georgetown,Commercial & Industrial,2014,"133,417","120,053","120,205","61,193","34,069","23,140","18,012","19,844","22,342","41,832","86,065","121,902","802,075"
Lee,Total,2016,"133,721","467,075","380,040","321,959","249,574","141,914","113,447","136,286","164,494","226,515","377,601","507,406","3,220,032"
Hampden,Residential,2014,"133,777","121,410","112,677","57,725","29,768","18,007","15,637","15,998","19,469","35,526","77,826","104,576","742,397"
Shrewsbury,Residential,2013,"133,794","959,823","1,119,919","914,705","478,133","234,018","166,290","121,342","127,543","164,779","349,271","1,111,763","5,881,380"
Hanson,Commercial & Industrial,2017,"134,103","103,110","96,344","62,058","32,056","19,767","16,574","17,499","18,488","31,505","63,258","111,327","706,090"
Dighton,Commercial & Industrial,2013,"134,224","137,928","101,372","50,860","19,633","7,774","6,287","7,235","8,750","24,043","74,870","128,010","700,986"
Oxford,Commercial & Industrial,2015,"134,232","125,012","129,170","77,617","56,296","61,215","57,417","54,645","55,060","68,279","85,877","102,314","1,007,135"
Hull,Commercial & Industrial,2018,"134,361","83,235","93,323","70,559","30,868","28,559","23,713","23,048","21,813","42,065","71,467","94,857","717,867"
Hopedale,Total,2018,"134,431","85,140","92,472","57,614","19,112","11,364","9,258","9,419","12,961","40,126","77,999","104,533","654,429"
North Brookfield,Total,2017,"134,543","112,653","122,024","64,730","46,750","34,851","21,447","32,534","29,819","41,070","86,854","152,542","879,817"
Wenham,Residential,2013,"135,229","115,346","100,934","56,423","30,154","17,992","14,336","15,743","20,402","41,139","91,640","138,738","778,076"
Upton,Residential,2015,"135,327","125,706","97,115","52,025","18,887","13,730","11,907","10,824","13,902","32,623","50,116","67,097","629,260"
Lancaster,Total,2019,"135,720","316,630","104,849","51,116","82,682","12,568","5,934","6,700","7,132","65,789","108,057","137,569","1,034,746"
Hanson,Commercial & Industrial,2015,"135,837","142,219","122,977","62,825","28,849","16,874","17,014","15,003","17,311","37,237","62,507","128,625","787,278"
Holden,Residential,2013,"136,132","39,876","169,427","102,721","82,886","30,380","21,134","17,237","16,962","22,032","50,541","132,773","822,102"
Plainville,Residential,2019,"136,324","137,406","104,874","67,832","40,632","21,362","14,034","13,380","15,626","38,891","82,460","122,622","795,443"
Rowley,Commercial & Industrial,2019,"136,392","116,260","108,241","57,252","40,819","23,476","20,903","20,741","24,008","42,435","79,823","110,275","780,626"
Gardner,Residential,2016,"136,630","129,586","104,877","73,937","43,434","18,249","14,569","14,929","17,337","37,857","86,314","132,829","810,550"
Whitman,Commercial & Industrial,2013,"136,718","119,970","105,988","63,416","32,463","18,914","16,785","18,079","20,050","40,636","83,467","142,244","798,731"
Essex,Total,2017,"136,856","118,585","133,498","72,233","49,103","31,638","28,139","27,384","26,390","35,295","89,968","167,260","916,349"
Stow,Residential,2015,"136,860","129,853","113,173","56,051","23,808","14,148","12,045","11,285","15,201","34,216","61,948","87,259","695,847"
Westport,Commercial & Industrial,2018,"137,386","108,032","98,021","71,593","35,218","15,402","16,565","15,426","16,160","34,308","61,004","86,747","695,863"
Great Barrington,Residential,2019,"137,445","116,102","100,073","56,961","30,468","14,920","11,822","11,881","17,952","42,348","78,846","109,137","727,955"
Medfield,Commercial & Industrial,2013,"137,541","120,200","107,271","57,402","26,298","17,258","13,152","15,788","16,974","39,884","78,363","129,985","760,117"
Lunenburg,Commercial & Industrial,2015,"137,675","147,072","112,701","135,118","185,989","311,094","205,861","226,396","211,369","259,998","222,355","140,080","2,295,708"
Marion,Residential,2016,"137,968","140,048","107,412","77,004","41,018","23,009","18,594","17,522","21,029","43,062","86,070","139,858","852,593"
Dalton,Commercial & Industrial,2014,"138,055","100,203","165,564","140,019","132,430","17,222","21,943","15,190","25,902","68,628","110,202","137,547","1,072,905"
Sherborn,Total,2014,"138,442","129,822","115,235","57,176","28,782","15,224","13,423","13,632","20,469","40,927","83,074","114,125","770,333"
Plainville,Commercial & Industrial,2018,"138,621","99,954","97,172","80,612","36,839","26,654","25,548","25,750","25,306","40,805","82,305","110,039","789,606"
Gardner,Residential,2018,"138,804","101,827","98,940","68,370","29,532","15,988","13,951","13,616","20,000","54,854","106,735","146,355","808,973"
Wenham,Residential,2017,"138,817","127,747","128,510","65,972","40,437","23,508","17,271","17,748","20,063","37,104","84,768","154,451","856,396"
Maynard,Residential,2013,"138,830","195,124","361,381","254,379","191,971","74,986","52,510","46,784","42,307","57,508","131,018","322,575","1,869,374"
Hampden,Residential,2018,"138,882","90,653","97,485","64,904","24,130","16,077","13,988","14,333","16,999","43,683","83,021","102,248","706,405"
Palmer,Commercial & Industrial,2013,"138,928","137,996","114,601","82,972","62,117","62,562","63,518","82,635","68,325","100,143","124,978","143,003","1,181,779"
Winthrop,Commercial & Industrial,2013,"139,207","125,519","117,661","71,820","38,699","24,216","22,077","22,022","24,635","51,111","97,959","170,060","904,986"
Chatham,Commercial & Industrial,2016,"139,531","135,657","122,983","108,496","81,651","58,241","59,084","56,949","54,688","69,959","94,797","133,571","1,115,607"
Spencer,Residential,2016,"139,584","138,730","117,110","76,563","38,395","21,966","18,387","17,586","23,321","50,466","96,419","142,651","881,179"
Dunstable,Commercial & Industrial,2019,"14,020","12,319","9,843","4,811","2,171",524,198,235,479,"2,748","7,859","10,503","65,709"
Boston,Residential,2013,"14,116,563","13,313,406","12,617,502","7,675,177","4,092,935","2,594,518","2,159,322","2,167,123","2,552,357","5,338,507","11,238,255","18,057,594","95,923,259"
Lanesborough,Commercial & Industrial,2016,"14,240","27,267","19,326","11,247","6,557","4,675","4,221","3,829","3,851","6,715","13,241","25,854","141,023"
Springfield,Total,2018,"14,243,272","10,495,579","10,855,676","7,685,019","3,923,119","3,136,799","3,209,781","3,248,456","3,452,619","5,786,649","9,577,484","12,560,963","88,175,414"
Monson,Residential,2013,"14,247","13,652","10,803","6,627","3,059","2,062","1,826","1,852","2,151","4,324","9,714","15,182","85,501"
Granby,Commercial & Industrial,2013,"14,396","12,104","10,090","5,060","2,257","1,532","1,384","1,394","1,588","3,703","7,480","14,263","75,251"
Lanesborough,Total,2016,"14,635",Protected,Protected,Protected,,Protected,Protected,Protected,Protected,Protected,"27,031","53,186","182,540"
Rochester,Commercial & Industrial,2016,"14,711","12,862","10,336","7,682","4,324","2,025","1,546","1,611","2,397","4,510","7,485","16,919","86,408"
Springfield,Total,2019,"14,787,618","12,791,223","11,798,129","6,835,430","4,649,957","2,981,698","2,989,877","3,118,006","3,449,886","5,103,639","9,053,332","11,381,528","88,940,321"
Rochester,Commercial & Industrial,2017,"14,923","11,822","13,907","4,060","4,219","2,336","1,680","1,801","2,327","3,610","8,012","16,482","85,179"
Stow,Residential,2018,"140,037","97,558","92,605","59,110","27,660","13,516","10,758","10,574","15,174","43,531","89,371","115,348","715,241"
Plainville,Residential,2018,"140,181","103,116","97,119","78,623","29,070","18,240","15,829","15,203","15,556","34,468","84,055","112,428","743,887"
North Brookfield,Total,2018,"140,301","100,558","118,540","83,846","43,042","29,313","19,574","25,567","26,700","61,784","105,223","127,490","881,937"
Halifax,Total,2013,"140,385","132,947","115,403","70,940","37,504","22,581","19,734","20,734","24,210","44,704","92,402","138,068","859,611"
Chatham,Commercial & Industrial,2013,"140,395","133,566","114,200","87,714","68,863","52,236","50,931","53,338","51,674","65,852","100,364","144,680","1,063,814"
Plainville,Commercial & Industrial,2019,"140,699","145,199","120,576","81,898","50,492","32,756","23,534","24,179","18,635","63,362","92,007","125,434","918,769"
Lincoln,Commercial & Industrial,2017,"141,204","117,710","114,266","69,137","32,005","13,995","10,250","11,797","13,070","38,640","85,193","172,543","819,810"
Upton,Residential,2018,"141,385","88,824","97,866","63,043","21,414","14,716","11,589","11,485","15,644","43,454","82,175","109,146","700,743"
Avon,Residential,2015,"141,608","139,638","60,010","25,718","27,635","15,754","13,178","12,244","15,697","33,473","63,925","87,343","636,222"
Chatham,Commercial & Industrial,2017,"141,774","133,950","140,174","106,986","79,444","64,880","62,149","63,914","58,685","67,031","98,196","155,016","1,172,200"
Sutton,Total,2018,"141,897","110,707","93,523","71,720","52,079","48,586","50,148","53,275","54,477","84,521","112,109","141,323","1,014,365"
Auburn,Residential,2017,"142,871","117,474","131,948","64,964","37,495","19,263","13,652","13,632","14,813","27,943","86,513","174,872","845,440"
Hanson,Commercial & Industrial,2018,"142,919","109,409","128,569","74,004","25,468","15,939","13,566","13,299","17,122","45,950","81,952","116,432","784,627"
Lincoln,Commercial & Industrial,2016,"143,104","126,606","106,061","71,348","39,056","16,236","11,245","12,824","20,230","44,710","80,839","126,435","798,694"
Cohasset,Commercial & Industrial,2017,"143,183","133,227","135,051","73,585","44,977","31,129","22,779","23,788","27,845","41,913","77,519","153,612","908,606"
Sherborn,Total,2018,"143,559","101,251","107,904","68,522","31,139","16,325","12,683","12,352","16,757","50,657","96,661","128,965","786,776"
North Brookfield,Total,2015,"144,534","137,860","147,822","86,208","51,360","44,969","32,969","43,782","46,592","65,521","83,862","104,096","989,575"
Great Barrington,Residential,2015,"144,645","136,468","113,587","64,121","26,947","15,890","13,087","12,059","17,114","38,707","57,551","46,772","686,950"
Whitman,Commercial & Industrial,2017,"144,851","115,969","117,716","75,161","39,147","25,828","21,559","21,205","21,831","41,104","80,135","164,660","869,167"
Upton,Total,2013,"145,496","148,082","150,777","123,867","43,557","30,756","15,165","12,727","14,558","23,394","41,102","162,414","911,894"
Townsend,Commercial & Industrial,2017,"146,104","83,120","137,508","54,762","41,855","20,288","12,647","13,361","13,724","25,069","60,443","110,209","719,090"
Medfield,Commercial & Industrial,2014,"146,157","27,637","98,482","63,790","32,627","19,434","15,491","15,783","19,718","40,069","81,198","107,660","668,046"
Avon,Residential,2014,"146,224","128,754","114,893","67,130","29,781","16,150","13,232","12,816","16,729","36,088","72,948","113,929","768,675"
Stockbridge,Total,2013,"146,461","136,706","123,047","83,159","48,230","34,594","29,909","33,219","34,551","61,911","91,268","106,812","929,866"
Hamilton,Residential,2013,"146,469","127,993","112,243","65,575","36,088","21,964","18,691","19,795","24,732","48,784","103,747","154,501","880,583"
Avon,Residential,2019,"147,025","133,346","113,086","62,345","35,781","18,955","13,394","12,902","16,741","42,691","89,653","122,469","808,388"
Westminster,Commercial & Industrial,2017,"147,434","64,338","156,481","49,282","43,486","32,236","26,587","27,191","28,458","40,641","68,309","128,284","812,726"
North Brookfield,Total,2019,"147,464","127,757","109,691","66,951","44,330","28,723","20,137","23,804","26,623","49,072","96,508","119,678","860,738"
North Brookfield,Total,2014,"147,471","134,692","140,420","75,928","49,592","40,904","31,691","35,217","46,162","68,219","97,336","148,001","1,015,634"
Rowley,Commercial & Industrial,2015,"147,485","151,119","124,982","60,055","23,421","16,464","13,979","13,817","17,881","32,115","50,332","80,140","731,790"
Georgetown,Commercial & Industrial,2015,"148,112","164,073","144,404","75,298","31,587","25,282","22,080","22,540","27,250","49,484","69,411","98,106","877,626"
Hampden,Residential,2015,"148,397","144,780","106,539","1,444","22,018","17,756","15,490","14,994","15,148","41,297","57,305","74,726","659,894"
Townsend,Commercial & Industrial,2018,"148,475","109,565","103,206","57,216","20,659","13,322","13,557","13,469","16,530","38,620","75,660","127,865","738,144"
West Boylston,Residential,2016,"148,671","135,899","104,390","76,822","40,939","19,477","17,005","16,351","21,143","46,757","95,256","196,603","919,311"
Dighton,Commercial & Industrial,2017,"148,749","112,494","124,483","58,803","21,354","8,069","5,673","5,183","6,247","21,014","75,089","146,498","733,654"
Amherst,Residential,2016,"148,826","228,536","190,871","118,691","58,913","30,725","24,422","23,789","35,934","82,472","159,956","246,308","1,349,442"
Sutton,Total,2019,"148,895","125,978","126,441","99,001","82,555","68,594","52,627","58,636","78,386","101,070","134,217","138,602","1,215,004"
Gardner,Residential,2017,"149,042","135,891","128,024","77,333","41,015","21,606","12,705","13,581","16,581","33,954","77,014","128,471","835,217"
Sutton,Total,2017,"149,251","82,593","99,087","72,640","53,673","55,484","55,419","53,528","43,043","67,080","96,472","132,767","961,038"
Hampden,Total,2013,"149,485","138,576","111,222","66,712","33,023","24,123","19,796","20,954","24,396","45,105","99,565","149,776","882,734"
Scituate,Commercial & Industrial,2013,"149,759","131,577","122,234","76,319","44,845","29,551","26,716","27,634","30,414","49,986","99,569","150,052","938,655"
Marion,Residential,2017,"149,966","127,524","140,140","70,616","46,401","25,797","20,361","21,874","23,166","34,007","90,196","185,433","935,480"
Granby,Commercial & Industrial,2016,"15,017","12,093","15,020","22,493","26,880","22,708","26,324","24,512","23,562","33,786","36,717","23,059","282,170"
Berlin,Commercial & Industrial,2017,"15,238","12,426","12,100","7,687","5,143","4,253","4,014","4,038","3,679","4,129","7,275","24,216","104,197"
Cambridge,Commercial & Industrial,2013,"15,307,668","16,805,197","17,678,598","16,513,882","3,499,249","5,305,103","5,504,823","7,597,426","8,205,547","9,214,212","16,839,461","21,982,590","144,453,757"
Lancaster,Commercial & Industrial,2018,"15,361","10,421","17,473","19,938","14,432","3,152","2,179","2,085","2,176","6,509","14,726","16,719","125,172"
Granby,Commercial & Industrial,2018,"15,403","14,430","16,339","26,350","33,194","27,887","25,137","23,218","29,126","31,741","30,811","21,844","295,481"
Mendon,Residential,2016,"15,493","13,431","9,595","7,091","3,780","1,802","1,660","1,700","1,957","7,271","14,355","23,539","101,674"
Lancaster,Commercial & Industrial,2015,"15,548","14,676","11,747","5,381","2,616","1,651","1,489","1,506","1,632","4,034","5,998","7,783","74,060"
East Brookfield,Residential,2013,"15,578","13,933","13,165","6,928","3,754","2,360","1,976","2,070","2,540","5,925","12,477","19,904","100,608"
Worcester,Total,2016,"15,607,231","14,337,593","12,239,573","8,894,032","5,942,342","4,367,172","4,166,272","4,358,383","4,651,374","7,279,950","10,149,931","15,894,336","107,888,190"
Springfield,Total,2017,"15,648,615","11,101,923","11,523,454","6,978,202","7,825,612","3,453,739","3,055,413","3,045,801","3,217,953","4,079,913","8,452,580","13,517,836","91,901,041"
Granby,Commercial & Industrial,2014,"15,711","5,480","6,498","5,847","2,349","1,385","1,245","1,274","1,576","3,114","7,594","12,368","64,442"
Rehoboth,Residential,2019,"15,877","14,161","12,344","6,899","3,715","1,833","1,544","1,544","2,052","5,047","10,212","13,421","88,647"
Rochester,Commercial & Industrial,2014,"15,889","14,326","13,930","7,478","3,631","1,852","1,491","1,489","2,287","3,829","7,950","9,522","83,674"
Essex,Total,2014,"150,003","135,669","129,271","71,306","43,663","29,369","26,352","25,980","28,583","50,580","85,912","142,036","918,725"
Auburn,Residential,2014,"150,044","137,841","126,247","64,799","30,282","16,012","13,087","12,975","17,402","39,746","91,155","136,797","836,385"
Sherborn,Total,2019,"150,255","130,655","107,542","60,671","35,401","16,622","12,467","12,788","17,833","41,396","98,339","123,287","807,254"
Wayland,Commercial & Industrial,2013,"150,335","140,669","125,829","84,647","41,363","23,095","18,230","19,727","26,460","60,472","118,799","172,866","982,492"
Marion,Residential,2014,"150,843","140,509","128,212","73,094","35,573","20,397","17,667","17,649","21,352","41,243","88,506","131,090","866,135"
Palmer,Commercial & Industrial,2017,"150,863","133,031","125,681","105,827","137,775","84,311","72,498","93,344","100,700","103,710","136,513","162,538","1,406,791"
Dighton,Commercial & Industrial,2014,"150,915","114,341","28,508","60,127","17,963","6,533","5,117","5,498","8,299","25,063","69,816","147,218","639,397"
Lakeville,Total,2017,"150,920","106,348","94,706","54,141","26,771","14,085","10,276","10,567","11,473","25,666","61,508","128,367","694,827"
Lakeville,Total,2018,"151,077","105,493","99,808","69,298","26,081","14,152","29,440","44,191","21,160","33,702","243,952","263,864","1,102,218"
Townsend,Commercial & Industrial,2015,"151,243","165,978","145,480","65,617","22,279","15,474","13,682","12,347","13,958","35,611","31,136","71,695","744,501"
Great Barrington,Residential,2018,"151,273","107,765","103,511","73,113","28,386","11,565","3,754","11,579","17,335","46,227","90,494","129,030","774,031"
Wenham,Residential,2016,"151,314","123,810","96,777","68,355","38,385","19,630","15,890","15,835","19,710","41,900","81,282","134,805","807,691"
Hamilton,Residential,2017,"151,505","139,986","140,596","74,767","45,795","26,797","19,346","19,464","21,667","40,302","95,178","168,085","943,487"
Avon,Residential,2018,"152,058","102,946","110,440","71,622","32,367","16,954","13,130","12,767","15,411","46,609","99,530","125,175","799,008"
Millis,Residential,2013,"152,130","134,436","123,879","65,499","31,947","21,771","17,215","17,555","21,237","50,194","96,619","161,133","893,614"
Palmer,Total,2013,"152,481","151,262","125,118","89,271","64,894","64,430","64,977","84,127","70,187","104,153","134,431","157,549","1,262,879"
Halifax,Residential,2017,"152,996","82,992","76,663","46,522","24,848","15,550","11,354","11,628","12,864","24,230","51,807","94,412","605,866"
Lenox,Total,2016,"153,505","540,675","412,768","311,285","195,242","116,915","104,966","97,662","112,727","209,170","393,817","610,060","3,258,790"
Williamstown,Commercial & Industrial,2013,"153,536","140,594","135,332","90,982","66,439","70,052","63,664","70,771","74,138","75,620","41,537","88,475","1,071,141"
Medfield,Commercial & Industrial,2015,"153,593","167,141","127,399","58,998","24,507","15,602","14,590","14,419","18,137","34,706","61,176","135,557","825,824"
Williamstown,Commercial & Industrial,2017,"154,749","98,011","144,585","86,250","74,854","77,823","80,161","79,887","86,129","74,243","41,307","105,088","1,103,086"
Palmer,Commercial & Industrial,2014,"154,856","123,299","18,601","93,260","135,465","120,572","99,318","78,293","87,824","98,954","136,032","135,506","1,281,979"
Halifax,Total,2016,"155,013","123,430","99,178","76,521","44,684","23,130","21,609","24,241","26,616","56,219","150,169","223,792","1,024,601"
Carver,Residential,2016,"155,147","155,079","130,034","86,973","48,522","27,118","24,087","22,779","26,465","53,170","98,476","166,734","994,587"
Halifax,Total,2014,"155,330","127,411","101,052","79,556","41,018","23,216","18,784","19,263","22,936","42,948","84,666","125,863","842,042"
Orleans,Commercial & Industrial,2016,"155,515","150,956","129,594","102,082","71,717","47,275","48,679","45,589","45,257","61,573","99,924","144,222","1,102,385"
West Boylston,Residential,2014,"155,539","145,991","125,947","73,609","37,496","20,391","16,151","16,884","22,397","47,358","97,282","143,892","902,936"
Georgetown,Commercial & Industrial,2018,"155,549","103,416","104,640","71,074","28,638","16,624","14,102","14,730","22,249","42,414","83,091","112,114","768,641"
Chatham,Commercial & Industrial,2014,"155,666","142,817","142,067","99,100","73,203","55,801","58,242","57,746","54,285","65,160","89,262","127,926","1,121,275"
Groton,Residential,2013,"155,852","135,568","123,179","65,624","35,107","22,827","16,418","19,368","23,520","52,919","111,899","181,384","943,666"
Abington,Commercial & Industrial,2013,"155,984","161,292","148,256","79,964","44,163","26,788","23,126","22,685","25,643","50,784","107,855","182,325","1,028,866"
Adams,Commercial & Industrial,2014,"156,051","175,237","168,269","107,364","65,271","50,491","47,950","52,204","56,060","78,891","127,091","166,326","1,251,206"
Sherborn,Total,2015,"156,261","138,425","109,528","53,868","24,137","15,239","12,715","12,336","17,414","39,001","62,743","90,899","732,567"
Uxbridge,Commercial & Industrial,2013,"156,372","119,646","124,400","104,468","24,064","20,312","22,130","18,859","30,194","38,533","61,698","199,150","919,826"
Orleans,Commercial & Industrial,2017,"156,518","144,123","150,356","99,248","64,625","51,059","46,851","47,471","45,927","59,368","95,777","164,080","1,125,402"
Medfield,Commercial & Industrial,2016,"156,874","145,010","110,276","77,765","47,691","27,539","22,969","22,225","30,025","79,322","130,574","212,971","1,063,240"
Whitman,Commercial & Industrial,2015,"157,306","172,031","154,231","75,994","35,853","21,846","18,930","18,165","21,325","39,781","70,356","98,061","883,879"
Uxbridge,Commercial & Industrial,2015,"157,542","153,603","125,452","83,477","65,285","94,416","95,741","88,833","76,155","115,561","132,807","126,546","1,315,417"
Duxbury,Commercial & Industrial,2013,"157,706","152,768","133,660","85,948","48,255","29,803","25,717","27,466","32,576","58,405","118,813","175,171","1,046,287"
Swampscott,Commercial & Industrial,2013,"157,715","141,400","117,699","74,883","41,002","27,386","24,924","27,100","29,729","52,086","105,344","168,565","967,833"
Dighton,Commercial & Industrial,2019,"157,730","135,731","117,677","64,263","26,019","6,169","5,351","5,629","7,650","26,252","86,132","126,990","765,592"
Dudley,Total,2013,"158,134","148,621","124,126","80,768","37,980","22,692","18,843","22,518","29,626","61,682","122,682","188,933","1,016,607"
Palmer,Commercial & Industrial,2015,"158,352","165,349","131,898","73,905","50,469","40,786","35,397","37,009","39,281","57,620","74,135","114,072","978,273"
Spencer,Residential,2017,"158,472","132,991","134,950","83,032","42,772","25,767","19,165","19,819","20,832","40,743","100,395","181,259","960,195"
Medfield,Commercial & Industrial,2017,"158,679","120,681","140,884","83,845","53,206","33,542","28,509","29,769","32,147","58,943","152,332","283,512","1,176,048"
Lincoln,Commercial & Industrial,2014,"158,801","138,818","123,606","69,126","34,248","14,972","10,246","11,330","16,538","44,303","85,757","135,126","842,870"
Gardner,Residential,2019,"159,882","150,054","134,144","75,572","42,350","19,402","14,740","14,468","22,296","51,889","103,678","140,127","928,601"
Millis,Residential,2016,"159,990","152,383","112,931","78,641","42,683","22,894","19,798","18,921","22,216","96,566","187,598","316,543","1,231,163"
Mendon,Residential,2017,"16,121","12,563","13,943","6,285","3,923","2,412","1,757","1,702","1,925","3,049","9,865","17,190","90,735"
Monson,Residential,2016,"16,141","14,482","10,558","7,835","4,376","2,120","1,904","1,818","2,088","6,823","21,342","30,588","120,074"
Worcester,Total,2019,"16,218,309","14,517,256","13,381,114","8,576,288","5,595,737","3,969,535","3,467,172","3,627,668","3,964,893","6,869,758","11,021,784","14,027,814","105,237,329"
Rehoboth,Residential,2018,"16,234","11,872","11,288","7,585","3,271","1,767","1,432","1,420","1,729","4,771","9,980","14,109","85,458"
Granby,Commercial & Industrial,2015,"16,347","16,515","13,407","5,633","2,345","1,518","1,426","1,398","1,666","3,166","6,410","14,461","84,292"
Berlin,Residential,2016,"16,396","14,915","12,974","8,449","4,600","2,658","2,346","2,315","2,864","5,838","10,657","17,028","101,041"
Carlisle,Commercial & Industrial,2013,"16,427","14,030","12,059","5,686","2,544",718,537,"1,089","1,200","3,832","8,735","16,276","83,133"
Worcester,Total,2017,"16,548,675","13,570,698","14,288,289","7,360,982","6,357,217","4,944,541","4,912,398","4,861,708","4,940,786","6,724,553","10,776,436","17,677,021","112,963,304"
Palmer,Residential,2016,"16,583","14,989","10,773","7,907","4,118","1,743","1,505","1,416","1,707","6,689","22,358","33,181","122,970"
Palmer,Residential,2014,"16,670","16,143","14,188","7,407","3,435","1,847","1,498","1,500","1,978","4,124","10,016","14,430","93,234"
Worcester,Total,2014,"16,723,304","14,910,268","13,933,381","8,908,393","5,735,735","4,326,202","4,154,754","4,185,807","4,885,093","6,788,131","11,237,091","14,997,954","110,786,112"
Brookfield,Commercial & Industrial,2016,"16,799","15,818","11,047","7,297","3,328","1,646","1,448","1,391","1,761","5,073","9,750","16,175","91,533"
Boston,Residential,2016,"16,888,562","16,045,923","12,881,544","9,038,760","4,975,668","2,805,384","2,391,166","2,283,158","2,720,754","5,674,671","10,325,788","17,630,857","103,662,235"
Worcester,Total,2015,"16,935,008","16,155,632","14,432,980","8,713,372","5,432,095","4,130,192","3,981,008","3,959,385","4,226,433","6,303,078","8,665,642","13,382,526","106,317,352"
Whitman,Commercial & Industrial,2014,"160,559","142,549","130,486","71,897","36,201","20,458","17,544","18,109","21,937","42,226","78,966","130,769","871,700"
Lincoln,Commercial & Industrial,2019,"160,805","151,064","129,865","69,379","39,593","21,368","15,012","16,773","24,018","55,881","107,286","133,374","924,419"
