ACO_ID,ACO_Name,ACO_State,Agree_Type,Agreement_Period_Num,Initial_Start_Date,Current_Start_Date,Current_Track_1,Current_Track_2,Current_Track_3,Current_Track_1_Plus,Current_BASIC_A,Current_BASIC_B,Current_BASIC_C,Current_BASIC_D,Current_BASIC_E,Current_ENHANCED,Risk_Model,Adv_Pay,AIM,SNF_Waiver,N_AB,Sav_rate,MinSavPerc,BnchmkMinExp,GenSaveLoss,DisAdj,EarnSaveLoss,DisAffQual,Met_QPS,QualScore,RecvdMean,RegTrndUpdt,PosRegAdj,UpdatedBnchmk,HistBnchmk,ABtotBnchmk,ABtotExp,Adv_Pay_Amt,Adv_Pay_Recoup,QualPerfShare,FinalShareRate,RevLossLimit,Rev_Exp_Cat,Per_Capita_Exp_ALL_ESRD_BY1,Per_Capita_Exp_ALL_DIS_BY1,Per_Capita_Exp_ALL_AGDU_BY1,Per_Capita_Exp_ALL_AGND_BY1,Per_Capita_Exp_ALL_ESRD_BY2,Per_Capita_Exp_ALL_DIS_BY2,Per_Capita_Exp_ALL_AGDU_BY2,Per_Capita_Exp_ALL_AGND_BY2,Per_Capita_Exp_ALL_ESRD_BY3,Per_Capita_Exp_ALL_DIS_BY3,Per_Capita_Exp_ALL_AGDU_BY3,Per_Capita_Exp_ALL_AGND_BY3,Per_Capita_Exp_ALL_ESRD_PY,Per_Capita_Exp_ALL_DIS_PY,Per_Capita_Exp_ALL_AGDU_PY,Per_Capita_Exp_ALL_AGND_PY,Per_Capita_Exp_TOTAL_PY,CMS_HCC_RiskScore_ESRD_BY1,CMS_HCC_RiskScore_DIS_BY1,CMS_HCC_RiskScore_AGDU_BY1,CMS_HCC_RiskScore_AGND_BY1,CMS_HCC_RiskScore_ESRD_BY2,CMS_HCC_RiskScore_DIS_BY2,CMS_HCC_RiskScore_AGDU_BY2,CMS_HCC_RiskScore_AGND_BY2,CMS_HCC_RiskScore_ESRD_BY3,CMS_HCC_RiskScore_DIS_BY3,CMS_HCC_RiskScore_AGDU_BY3,CMS_HCC_RiskScore_AGND_BY3,CMS_HCC_RiskScore_ESRD_PY,CMS_HCC_RiskScore_DIS_PY,CMS_HCC_RiskScore_AGDU_PY,CMS_HCC_RiskScore_AGND_PY,N_AB_Year_ESRD_BY3,N_AB_Year_DIS_BY3,N_AB_Year_AGED_Dual_BY3,N_AB_Year_AGED_NonDual_BY3,N_AB_Year_PY,N_AB_Year_ESRD_PY,N_AB_Year_DIS_PY,N_AB_Year_AGED_Dual_PY,N_AB_Year_AGED_NonDual_PY,N_Ben_Age_0_64,N_Ben_Age_65_74,N_Ben_Age_75_84,N_Ben_Age_85plus,N_Ben_Female,N_Ben_Male,N_Ben_Race_White,N_Ben_Race_Black,N_Ben_Race_Asian,N_Ben_Race_Hisp,N_Ben_Race_Native,N_Ben_Race_Other,CapAnn_INP_All,CapAnn_INP_S_trm,CapAnn_INP_L_trm,CapAnn_INP_Rehab,CapAnn_INP_Psych,CapAnn_HSP,CapAnn_SNF,CapAnn_OPD,CapAnn_PB,CapAnn_AmbPay,CapAnn_HHA,CapAnn_DME,ADM,ADM_S_Trm,ADM_L_Trm,ADM_Rehab,ADM_Psych,chf_adm,copd_adm,prov_Rate_1000,P_EDV_Vis,P_EDV_Vis_HOSP,P_CT_VIS,P_MRI_VIS,P_EM_Total,P_EM_PCP_Vis,P_EM_SP_Vis,P_Nurse_Vis,P_FQHC_RHC_Vis,P_SNF_ADM,N_CAH,N_FQHC,N_RHC,N_ETA,N_Hosp,N_Fac_Other,N_PCP,N_Spec,N_NP,N_PA,N_CNS,ACO1,ACO2,ACO3,ACO4,ACO5,ACO6,ACO7,ACO34,ACO45,ACO46,ACO8,ACO38,ACO43,ACO13,ACO14,ACO17,ACO18,ACO19,ACO20,ACO42,ACO40,ACO27,ACO28
A2311,"JFK Health ACO",NJ,Renewal,3,1/1/2014,1/1/2020,0,0,0,0,0,1,0,0,0,0,One-Sided,0,0,0,13383,0.0403,0.028,6134889,6134889,"",2377082,1,1,96.87,1,0,1,11764,13494,152124276,145989387,"","",0.4,0.39,0,"High Revenue",90135,11484,12258,11666,97460,11694,14109,11602,91948,10659,14216,12078,101328,10588,11860,10385,11289,1.062,1.026,0.96,1.107,1.006,1.003,0.935,1.116,1.049,0.97,0.947,1.109,1.026,0.961,0.907,1.079,118,1254,1578,10184,12932,102,1112,1512,10206,1212,5624,4265,2282,7588,5795,9480,1001,1562,216,20,1104,3499,2993,94,422,59,217,1266,1970,4110,92,354,221,286,261,2,18,4,18,5,775,468,232,562,224,11434,4469,5800,1158,7,75,0,0,0,0,1,2,99,207,74,19,0,^,^,^,^,^,^,^,^,^,^,~,~,0.9,74.86,71.49,93.33,44.61,62.28,62.56,89.49,0,12.68,80.68
A2337,"Ingalls Care Network, LLC","IL, IN",Renewal,3,1/1/2014,1/1/2020,0,0,0,0,0,1,0,0,0,0,One-Sided,0,0,0,6031,0.0664,0.0359,4575068,4575068,"",1772699,1,1,96.87,1,0,1,11733,13168,68930928,64355860,"","",0.4,0.39,0,"High Revenue",101140,10944,20429,11386,103351,10589,19728,11252,96521,13430,19807,11682,91990,9644,18894,9293,10954,1.062,0.979,1.094,1.091,1.095,0.914,1.154,1.066,1.001,0.991,1.009,1.052,1.036,0.955,1.111,1.023,68,642,297,4576,5875,73,625,364,4813,692,2653,1885,801,3669,2362,3883,1928,40,55,5,120,3406,2830,110,484,25,205,673,2874,3223,124,617,271,316,286,4,23,4,24,7,722,575,222,761,214,8703,3189,4388,939,187,49,0,3,0,0,1,2,41,51,25,8,1,^,^,^,^,^,^,^,^,^,^,~,~,0.91,87.5,50.62,78.26,79.84,52.82,67.34,82.35,3.7,24.1,71.32
A2342,"Health Connect Partners, LLC","WA, CA, AK",Renewal,3,1/1/2014,1/1/2020,0,0,0,0,0,1,0,0,0,0,One-Sided,0,0,0,115202,0.0565,0.02,67395249,67395249,"",26113602,1,1,96.87,1,0,1,10552,11457,1193079796,1125684547,"","",0.4,0.39,0,"High Revenue",83940,9530,13961,9878,91596,9755,13917,10087,91373,10288,14515,10328,87008,9790,13461,9237,9956,0.999,0.94,0.921,1.024,1.012,0.937,0.914,1.021,1.01,0.927,0.89,1.013,1.002,0.934,0.914,0.993,659,7302,5725,94115,113064,680,6927,5823,99633,7490,52961,38403,16348,66993,48209,100571,2038,4198,1438,669,6288,2617,2389,55,170,39,379,692,2385,3349,97,503,265,187,177,1,6,3,10,2,777,494,134,570,217,8599,2994,4102,1307,196,36,2,0,5,0,9,8,2354,2635,983,771,0,^,^,^,^,^,^,^,^,^,^,~,~,0.51,62.4,66.26,63.64,62.37,75.86,78.18,84.91,3.33,13.77,66.55
A2366,"Akira Health of Fresno Inc.","CA, GU",Renewal,3,1/1/2014,1/1/2020,0,0,0,0,0,1,0,0,0,0,One-Sided,0,0,0,5508,0.0376,0.0375,3026274,3026274,"",1195378,1,1,98.75,0,0,0,15225,16268,80541802,77515529,"","",0.4,0.4,0,"Low Revenue",87167,14719,21267,11981,86783,15694,19377,11656,92077,15435,19634,11633,87505,14954,20024,10926,14653,1.028,1.235,1.122,1.03,0.992,1.247,1.142,1.051,0.955,1.189,1.148,1.049,0.997,1.247,1.158,1.044,129,661,1239,3443,5290,106,573,1020,3591,770,2400,1538,800,3382,2126,3645,223,743,327,21,549,4155,3891,25,228,24,588,1863,2538,4730,161,704,367,302,291,1,8,2,17,6,788,620,258,572,227,15155,8361,4602,1938,253,115,0,0,2,0,0,0,45,8,16,3,0,^,^,^,^,^,^,^,^,^,^,~,~,0.83,84.46,82.34,95.74,68.97,74,71.85,81.89,9.76,17.79,81.77
A2392,"Physicians Accountable Care of Utah",UT,Renewal,3,1/1/2014,1/1/2020,0,0,0,0,0,0,0,0,1,0,Two-Sided,0,0,1,10066,0.0224,0.03,1868404,0,"",0,1,1,100,0,0,1,8479,9167,83380675,81512271,"","",0.5,0.5,1,"Low Revenue",58613,6482,15501,8308,67926,6470,18240,8666,64857,6679,18696,8931,67361,5821,14979,8136,8289,0.906,0.853,0.923,0.904,0.92,0.845,0.99,0.908,0.93,0.792,1.025,0.901,0.938,0.812,1.035,0.903,47,716,126,9736,9833,38,601,98,9097,932,5512,2679,943,5681,4385,9354,76,124,114,21,377,2062,1719,36,300,27,250,307,1837,3196,40,427,323,180,161,1,15,4,7,1,769,454,119,533,255,7919,3332,2952,1630,5,23,0,0,0,0,0,0,78,144,63,74,0,^,^,^,^,^,^,^,^,^,^,~,~,0.72,90.33,82.46,62.5,61.65,83.21,75.5,82.45,4.76,10.18,75.71
A2419,"Duke Connected Care, LLC",NC,Renewal,2,1/1/2014,1/1/2018,0,0,1,0,0,0,0,0,0,0,Two-Sided,0,0,1,49301,0.0463,0.02,23006864,23006864,"",16715924,1,1,96.88,0,1,1,10303,10424,497344381,474337518,"","",0.75,0.73,0,"High Revenue",74025,9498,12522,8692,74946,10102,12842,8829,74835,9711,13183,9016,75955,10337,12939,8716,9826,0.962,1.033,0.894,1.005,0.975,1.065,0.917,1.009,1.002,1.129,0.979,1.044,0.986,1.136,0.977,1.046,521,7908,3489,36160,48271,498,5945,2475,39353,6464,23840,14127,4870,28172,21128,35703,11096,550,334,48,1570,2651,2434,38,132,61,310,536,3026,2659,117,432,356,254,242,1,6,5,15,4,751,575,188,680,231,9350,3157,3695,2093,405,41,0,12,1,0,4,7,926,2344,778,662,3,^,^,^,^,^,^,^,^,^,^,~,~,0.83,97.24,84.82,90.32,57.2,70.36,83.4,91.33,1.02,12.21,72.18
A2424,"Louisiana Physicians 2014 ACO",LA,Renewal,3,1/1/2014,1/1/2020,0,0,0,0,0,0,0,0,1,0,Two-Sided,0,0,0,7344,0.1199,0.0333,9003966,9003966,"",4360953,1,1,96.87,1,0,1,10550,11029,75097166,66093200,"","",0.5,0.48,1,"Low Revenue",69692,9434,12836,8746,69128,9681,13420,8731,72934,9221,12797,8759,69872,8125,11853,8122,9285,0.936,1.024,0.871,1.033,0.932,1.026,0.899,1.041,0.953,1.037,0.909,1.029,1.015,1.018,0.917,1.117,117,1455,832,5886,7118,95,1140,642,5242,1399,3257,1956,732,4168,3176,5560,1558,31,18,28,149,2430,1911,133,334,73,260,303,2688,2702,111,624,333,257,228,5,17,8,17,3,754,747,177,584,188,9489,3772,4322,1359,36,20,0,0,0,0,0,0,46,155,56,25,0,^,^,^,^,^,^,^,^,^,^,~,~,0.94,77.6,84.12,90,79.32,79.75,83.44,86.27,17.95,17.48,75.97
A2452,"Alliance for Integrated Care of New York, LLC",NY,Renewal,3,1/1/2014,1/1/2020,0,0,0,0,0,1,0,0,0,0,One-Sided,0,0,0,6513,0.0611,0.035,4190449,4190449,"",1623671,1,1,96.87,1,0,1,10878,11651,68571507,64381059,"","",0.4,0.39,0,"Low Revenue",88926,9451,14119,8174,82375,10026,14696,9133,93947,10444,17142,9249,93815,8735,15819,8510,10214,0.959,0.796,1.059,1.115,1.023,0.744,1.032,1.134,0.995,0.755,0.978,1.097,0.991,0.734,0.957,0.883,22,4857,1075,370,6303,19,4490,1111,683,4728,1271,397,117,2718,3795,4843,1089,78,241,3,259,3402,2742,52,47,577,40,1033,2283,3129,159,160,331,324,288,1,3,32,4,3,840,1002,282,572,110,18803,1694,4959,1654,10496,38,0,17,0,0,0,0,29,63,63,10,0,^,^,^,^,^,^,^,^,^,^,~,~,1.11,28.47,56.78,72,71.6,45.84,51.79,64.93,0,26.61,77.39
A2490,"CMG ACO, LLC","CT, NY",Renewal,2,1/1/2015,1/1/2018,1,0,0,0,0,0,0,0,0,0,One-Sided,0,0,0,12723,0.0812,0.0284,12148563,12148563,"",5883997,1,1,96.87,1,1,1,12061,11943,149537930,137389367,"","",0.5,0.48,0,"Low Revenue",93028,10671,16629,10083,90102,12324,16724,10089,79474,10778,16599,10421,92984,11061,14323,9856,11081,1.034,0.993,1.007,1.032,1.007,1.011,1.019,1.043,0.979,0.972,0.935,1.012,1.017,0.962,0.924,1.027,137,1463,1665,13038,12398,96,1044,1341,9917,1368,5448,3931,1976,6913,5810,11150,676,139,119,3,636,3163,2942,81,94,70,179,757,2382,3830,155,801,198,254,243,2,4,5,15,3,803,540,204,599,211,13191,5362,5713,2099,17,60,0,0,0,0,0,0,87,162,78,52,0,^,^,^,^,^,^,^,^,^,^,~,~,0.75,82.13,77.87,83.33,50.98,78.72,74.74,87.66,9.3,16.3,78.29
A2492,"Frederick Integrated Healthcare Network LLC",MD,Renewal,2,1/1/2015,1/1/2018,1,0,0,0,0,0,0,0,0,0,One-Sided,0,0,0,9834,-0.062,0.0302,-6568032,0,"",0,1,1,98.75,0,1,1,11085,11576,106014270,112582302,"","",0.5,0.49,0,"High Revenue",93332,12492,18433,10566,96844,11233,14585,10249,87253,13114,14485,10696,86920,13767,14958,11028,11772,0.962,1.012,0.981,0.993,1.019,1.035,0.981,0.995,0.922,0.938,0.866,0.977,0.946,1.036,0.805,0.997,43,732,266,7777,9563,52,737,286,8488,1039,4741,3009,1045,5484,4350,8754,577,98,47,4,354,3691,3657,0,28,11,197,495,2109,4753,100,384,247,207,204,0,1,1,9,5,813,474,169,551,227,10655,3260,5582,1810,2,37,0,0,0,0,1,3,56,165,64,45,0,^,^,^,^,^,^,^,^,^,^,~,~,0.63,97.32,85.96,100,68.83,77.91,74.5,86.83,13.33,12.3,83.27
A2500,"WellSpan Population Health Services","PA, MD",Renewal,2,1/1/2015,1/1/2018,1,0,0,0,0,0,0,0,0,0,One-Sided,0,0,0,53727,0.0098,0.0213,5192621,0,"",0,1,1,96.87,1,1,1,10179,10294,531847704,526655084,"","",0.5,0.48,0,"High Revenue",75968,9585,15074,9280,80405,9942,13366,9544,77995,9904,13962,9319,83337,10264,14304,9382,10080,1.022,0.924,0.95,0.997,1.003,0.933,0.963,1.015,0.999,0.915,1.001,1.024,1.024,0.979,1.01,1.048,322,6748,1922,42642,52249,310,5780,1709,44449,7438,24366,14875,7048,30265,23462,50418,1201,204,373,14,1517,3183,2613,53,483,65,215,490,2611,3079,96,398,274,271,242,2,22,6,15,4,795,561,198,714,195,8793,3111,3450,1887,345,40,0,23,0,0,7,8,539,973,468,255,0,^,^,^,^,^,^,^,^,^,^,~,~,0.79,86.14,82.49,81.82,78.88,77.97,80.49,88.85,3.64,11.81,63.01
A2505,PACN,NC,Renewal,2,1/1/2015,1/1/2018,1,0,0,0,0,0,0,0,0,0,One-Sided,0,0,0,12607,0.0095,0.0284,1009945,0,"",0,1,1,96.87,1,1,1,8633,9261,106750179,105740234,"","",0.5,0.48,0,"Low Revenue",71233,9053,12205,8411,66969,9783,12396,8491,60176,9590,13689,8572,63947,8449,11888,8139,8551,0.945,0.97,0.948,0.961,1.012,0.976,0.966,0.956,0.916,0.973,1.016,0.954,0.954,1.045,1.121,1.079,85,1006,515,12087,12366,70,641,268,11387,946,5792,4287,1582,7175,5432,11093,1034,53,39,37,351,2256,2138,12,103,10,271,244,1801,3447,76,267,317,225,219,0,5,2,15,5,802,449,171,645,245,10011,3612,3934,2440,25,23,0,0,0,0,0,0,26,114,43,54,0,^,^,^,^,^,^,^,^,^,^,~,~,0.87,96.39,88.26,92.31,86.38,85.08,88.58,71.03,13.79,14.71,61.69
A2506,"Cotton-O'Neil ACO llc",KS,Renewal,2,1/1/2015,1/1/2018,1,0,0,0,0,0,0,0,0,0,One-Sided,0,0,0,24864,-0.0117,0.0245,-2833170,0,"",0,1,1,98.75,0,1,1,9961,10173,241573237,244406406,"","",0.5,0.49,0,"High Revenue",74330,10005,15971,8838,73152,10011,15928,8693,75372,10501,16799,9149,70970,11204,19160,9176,10078,0.988,1.03,1.049,0.962,0.989,1.016,1.058,0.971,1.031,1.044,1.039,0.978,1.016,1.069,1.119,1.021,134,3095,915,20097,24252,154,2438,744,20916,3160,11642,7237,2825,14186,10678,22937,882,87,211,115,632,2923,2437,46,427,38,239,623,2731,2954,96,389,364,292,262,1,26,3,14,3,772,546,175,738,213,9284,3078,3472,2660,73,48,0,0,0,0,1,0,114,275,225,75,1,^,^,^,^,^,^,^,^,^,^,~,~,1.03,99.26,96.25,93.22,97.87,83.67,92.16,90.21,15.79,8.2,76.06
A2507,"St. Francis Accountable Health Network",KS,Renewal,2,1/1/2015,1/1/2018,1,0,0,0,0,0,0,0,0,0,One-Sided,0,0,0,7512,-0.2058,0.033,-15159538,0,"",0,1,1,96.87,1,1,0,10122,9646,73664501,88824039,"","",0.5,0.48,0,"High Revenue",31055,7645,9652,10525,73925,7992,15108,8317,65797,7366,16403,9118,97432,13536,25772,10611,12205,0.853,0.819,0.739,0.953,0.746,0.854,0.718,0.853,1.306,0.773,0.976,0.884,1.035,1.145,1.207,1.08,2,141,57,1065,7278,46,733,361,6138,942,3572,2129,869,4158,3354,6836,315,39,78,46,198,3406,2908,83,397,72,590,1474,3697,2503,117,397,402,345,316,2,22,6,17,5,771,673,225,883,215,8444,1964,3101,2259,1120,104,2,0,4,0,2,5,57,231,104,34,0,^,^,^,^,^,^,^,^,^,^,~,~,1.25,80.05,63.49,36.36,78.21,67.78,71.71,66.22,0,19.32,68.25
A2528,"Capital Health Accountable Care Organization, LLC","NJ, PA",Renewal,2,1/1/2015,1/1/2018,1,0,0,0,0,0,0,0,0,0,One-Sided,0,0,0,6905,-0.0219,0.0342,-1634760,0,"",0,1,1,96.87,1,1,1,11186,11080,74598417,76233176,"","",0.5,0.48,0,"High Revenue",73705,9103,11031,8816,75332,8781,10876,8182,73220,11635,15078,9779,79773,10228,17444,10069,11431,1.097,0.986,0.855,0.892,0.937,0.919,0.861,0.926,1.002,0.929,0.968,1.001,0.94,0.95,1.041,1.002,72,757,190,4119,6669,90,878,362,5339,1157,3122,1817,809,4164,2741,5049,1290,127,138,3,298,3211,2828,30,274,108,163,947,2580,3949,93,369,240,291,269,1,12,8,17,5,785,680,228,693,238,10891,3927,5740,928,296,57,0,7,0,0,2,2,195,210,140,72,0,^,^,^,^,^,^,^,^,^,^,~,~,1.24,88.31,84.51,91.67,83,78.23,75.4,97.42,13.79,17.74,76.21
A2530,"Signature Partners in Health LLC",VA,Renewal,2,1/1/2015,1/1/2018,1,0,0,0,0,0,0,0,0,0,One-Sided,0,0,0,26646,0.0847,0.0243,18061653,18061653,"",8988495,1,1,99.53,0,1,1,8168,8580,213236812,195175158,"","",0.5,0.5,0,"Low Revenue",81800,9969,8867,7421,86963,9622,8930,7917,80695,10561,9244,7797,74702,9077,7901,7010,7476,0.961,0.966,0.69,0.83,0.968,0.933,0.683,0.832,0.995,0.935,0.734,0.833,0.96,0.87,0.776,0.808,93,1409,1762,17981,26107,114,1389,1779,22825,2229,14182,7896,2339,15333,11313,18757,2171,2586,869,8,2255,2031,1739,22,244,43,104,230,1374,3335,63,347,143,181,165,0,11,4,8,3,771,432,134,525,216,8483,3488,4172,720,103,16,0,10,0,0,0,0,316,19,88,34,0,^,^,^,^,^,^,^,^,^,^,~,~,0.96,88.52,82.73,92.86,65.12,79.35,80.86,93.86,24.14,10.6,69.59
A2542,"Baylor Scott & White Quality Alliance",TX,Renewal,3,1/1/2015,7/1/2019,0,0,0,0,0,0,0,0,1,0,Two-Sided,0,0,1,129866,0.0712,0.005,96365360,96365360,"",47128684,1,1,97.81,0,0,1,10679,11030,1354303944,1257938585,"","",0.5,0.49,1,"High Revenue",74705,11093,15463,9233,78358,10992,16089,9370,82004,11450,15864,9772,79090,10275,15212,9158,9919,0.969,1.018,0.951,0.95,1.002,1.003,0.947,0.959,0.986,1.01,0.946,0.964,0.963,1.014,0.956,0.981,862,10455,3910,106589,126816,943,8881,3416,113576,13095,66281,38069,12421,73941,55925,112557,9357,1542,2267,188,3955,2802,2170,75,460,30,216,390,2466,3257,95,658,288,246,208,2,22,4,10,3,783,524,163,672,235,9477,3306,4379,1484,308,29,3,0,14,0,21,11,1526,1804,758,513,15,^,^,^,^,^,^,^,^,^,^,~,~,0.84,98.82,81.27,94.23,91.56,80.62,84.41,83.82,10.11,10,72.92
A2543,"North Central Arizona Accountable Care, LLC",AZ,Renewal,2,1/1/2015,1/1/2018,0,0,0,1,0,0,0,0,0,0,Two-Sided,0,0,0,15211,0.0596,0.0269,8442598,8442598,"",4089061,1,1,96.87,1,1,1,9474,10110,141620909,133178311,"","",0.5,0.48,0,"High Revenue",96945,8021,18278,8975,82746,8962,10695,9286,69577,9142,14647,9607,72036,8313,12265,8800,8909,0.959,0.86,0.868,0.944,0.956,0.934,0.828,0.948,0.956,0.891,0.779,0.972,1.003,0.909,0.824,0.928,26,405,132,9548,14949,19,487,188,14254,525,8004,5249,1433,8433,6778,14581,51,48,76,73,382,2353,2046,37,290,18,514,283,1953,3328,154,250,366,173,157,1,13,2,6,2,762,454,111,452,224,8776,2889,3625,2136,126,24,0,0,2,0,2,2,101,297,89,73,0,^,^,^,^,^,^,^,^,^,^,~,~,0.98,92.45,74.4,71.05,80,80.29,79.27,85.53,5.88,15.27,71.21
A2550,"Franciscan ACO, Inc.","IN, IL",Renewal,2,1/1/2015,1/1/2018,1,0,0,0,0,0,0,0,0,0,One-Sided,0,0,0,51916,0.0515,0.0216,26653629,26653629,"",13326815,1,1,100,0,1,1,10253,10546,517405251,490751622,"","",0.5,0.5,0,"High Revenue",86507,9438,17571,8597,81227,9840,16975,9267,82302,10500,17897,9401,80040,9939,16640,8819,9725,1.034,0.99,1.037,0.977,1.008,1.007,1.06,0.994,1.017,1.022,1.029,0.996,1.027,1.044,1.057,1.014,351,6781,2870,44696,50464,290,4952,2491,42731,6620,25247,14536,5513,29966,21950,46559,3434,222,309,18,1374,2937,2601,43,278,35,175,678,2636,2716,96,403,327,278,260,1,13,4,17,6,786,600,197,706,194,8850,2944,3897,1706,302,50,2,0,6,0,12,55,506,991,465,118,9,^,^,^,^,^,^,^,^,^,^,~,~,1.13,91.63,79.94,100,70.59,83.72,78.77,86.93,8.64,12.53,79.7
A2551,"Physicians ACO, LLC",FL,Renewal,2,1/1/2015,1/1/2018,1,0,0,0,0,0,0,0,0,0,One-Sided,0,0,0,7689,0.1528,0.0326,13231699,13231699,"",6553826,1,1,99.06,0,1,1,11474,12022,86580536,73348837,"","",0.5,0.5,0,"Low Revenue",62757,12149,23412,11703,75931,11638,22321,11368,80823,11005,16755,9890,89349,8851,13365,9176,9721,0.962,1.235,1.248,1.272,0.985,1.307,1.253,1.256,1.047,1.164,1.19,1.217,1.034,1.226,1.171,1.217,60,461,254,5548,7545,43,312,176,7014,467,3481,2976,765,4532,3157,6932,419,60,75,4,199,2438,2176,20,238,8,97,250,1268,5119,75,393,261,243,228,1,12,1,14,3,809,506,187,669,266,13433,6580,5458,1354,41,25,0,0,0,0,0,0,37,1,41,10,0,^,^,^,^,^,^,^,^,^,^,~,~,0.86,92.32,89.64,94.74,77.2,82,83.91,82.73,27.12,7.74,78.91
A2552,"LifeBridge Health ACO, LLC",MD,Renewal,2,1/1/2015,1/1/2018,1,0,0,0,0,0,0,0,0,0,One-Sided,0,0,0,17932,-0.0193,0.0258,-4336073,0,"",0,1,1,96.87,1,1,1,12852,12946,224233388,228569461,"","",0.5,0.48,0,"High Revenue",102399,13799,17768,10704,95714,13734,16043,11065,97776,12839,16210,11368,96542,14617,16290,11651,13100,1.008,1,0.884,0.964,1.008,0.995,0.856,0.99,0.991,0.969,0.91,0.995,0.938,0.975,0.847,0.962,164,2443,1110,16135,17448,173,1960,1029,14286,2561,8493,5087,1791,10855,7077,10615,6353,249,81,3,631,4570,4521,8,31,20,149,621,3566,3795,107,402,249,224,221,0,1,1,16,5,763,555,183,686,254,9897,3672,4762,1459,4,48,0,0,0,0,3,4,249,399,140,268,0,^,^,^,^,^,^,^,^,^,^,~,~,1.13,83.27,67.6,47.83,54.84,67.67,66.29,72.91,3.33,25.08,64.26
A2557,"DE MSSP","DE, PA, MD",Renewal,3,1/1/2015,7/1/2019,0,0,0,0,0,0,0,0,0,1,Two-Sided,0,0,1,18449,0.1045,0.01,19481860,19481860,"",14428753,1,1,98.75,0,0,1,10329,10680,186356246,166874386,"","",0.75,0.74,0,"Low Revenue",85507,10900,12662,8931,89005,11058,13602,9077,102291,11744,14956,9381,56681,11539,13114,8834,9249,1.081,1.062,0.952,0.983,1.03,1.03,0.878,0.962,1.031,1.064,0.957,1.013,0.901,1.089,1.024,1.078,35,1837,906,16790,18043,11,1361,769,15901,1881,9224,5637,1707,10305,8144,15141,2458,120,98,10,622,2626,2194,20,360,69,244,378,1899,3584,88,417,246,217,194,0,18,4,12,5,849,433,160,644,230,12011,6128,4384,1456,44,27,0,4,0,0,0,0,54,3,43,18,0,^,^,^,^,^,^,^,^,^,^,~,~,0.97,93.5,93.14,90,88.42,90.19,86.25,95.31,11.54,9.52,78.91
A2559,"Healthcare Partners of the North Country",NY,Renewal,2,1/1/2015,1/1/2018,1,0,0,0,0,0,0,0,0,0,One-Sided,0,0,0,8803,0.0192,0.0312,1718548,0,"",0,1,1,96.87,1,1,1,10452,10269,89734390,88015842,"","",0.5,0.48,0,"High Revenue",80356,9402,12885,8091,81750,10559,12591,8432,82198,10908,14371,8841,80916,10473,14897,8942,10252,0.97,0.947,1.062,1.017,1.015,0.964,1.021,1.003,1.016,0.943,1.025,1.019,1.001,0.945,1.02,0.994,74,1780,1011,7649,8585,71,1235,717,6563,1477,3879,2361,1086,4753,4050,8365,67,29,16,33,293,3467,3184,5,230,58,83,569,3218,2423,148,296,354,278,261,0,12,5,10,5,820,635,168,640,279,10402,4231,3585,2444,142,34,6,2,7,0,6,9,219,558,208,186,1,^,^,^,^,^,^,^,^,^,^,~,~,1.64,77.78,68.63,85.19,71.4,69.23,71.28,77.97,1.28,13.75,70.88
A2569,"Doctors ACO, LLC","GA, OH, IN, AL",Renewal,3,1/1/2015,7/1/2019,0,0,0,0,0,0,0,0,0,1,Two-Sided,0,0,1,11834,0.0432,0.02,5227280,5227280,"",3797647,1,1,96.87,1,0,1,10538,10730,120901166,115673885,"","",0.75,0.73,0,"Low Revenue",72646,8870,11557,8464,74921,9164,11828,8787,84769,8435,12440,9097,81582,8245,12323,8740,10082,0.972,0.983,0.928,1.019,0.95,0.99,0.883,1.012,0.944,0.941,0.891,1.012,0.937,0.932,0.876,1.003,205,2263,1459,9782,11473,167,1558,1113,8635,2006,5271,3267,1290,6702,5132,8814,2065,414,144,11,386,2759,2354,57,288,69,344,571,2020,3626,239,553,288,272,248,2,14,8,15,5,777,618,198,653,191,12239,6974,4146,1103,16,39,0,0,0,0,0,0,91,33,53,14,0,^,^,^,^,^,^,^,^,^,^,~,~,1.01,83.77,80,97.18,79.01,73.51,71.6,87.58,9.23,15.16,71.5
A2570,"SLPA ACO, LLC","MO, IL",Renewal,2,1/1/2015,1/1/2018,1,0,0,0,0,0,0,0,0,0,One-Sided,0,0,0,17158,0.0699,0.0261,10758703,10758703,"",5210836,1,1,96.87,1,1,1,9215,9601,154016906,143258203,"","",0.5,0.48,0,"High Revenue",74893,8889,15224,7868,74039,9117,13706,8037,75412,9818,15861,8383,78937,9846,18287,7652,8571,1.025,1.093,1.161,1.08,1.022,1.078,1.18,1.077,1.018,1.06,1.182,1.079,0.999,1.062,1.162,1.035,126,1829,586,14131,16714,103,1429,463,14719,2012,8196,4893,2057,9412,7746,15013,1511,87,11,10,526,2390,2007,34,341,30,193,472,1929,3096,83,330,254,241,220,1,16,3,13,2,751,477,179,559,170,7765,3260,3370,1116,19,40,0,0,0,0,0,9,140,254,143,44,0,^,^,^,^,^,^,^,^,^,^,~,~,0.73,80.59,70.06,63.64,75.07,83.09,80,80.72,7.81,15,71.5
