Month End,Year Week,Current (Arrival) Region,Current (Arrival) District,Previous (Departure) Region,Previous (Departure) District,Reason,Current (Arrival) Priority Need,Number of Individuals
30/09/2018,201836,Galgaduud,Dhuusamarreeb,Galgaduud,Dhuusamarreeb,Conflict/Insecurity,Food,7
30/11/2018,201847,Galgaduud,Dhuusamarreeb,Galgaduud,Dhuusamarreeb,Conflict/Insecurity,Other,1198
31/12/2018,201849,Galgaduud,Dhuusamarreeb,Galgaduud,Dhuusamarreeb,Drought related,Food,154
31/12/2018,201850,Galgaduud,Dhuusamarreeb,Galgaduud,Dhuusamarreeb,Drought related,Livelihood Support,105
31/10/2018,201842,Galgaduud,Dhuusamarreeb,Galgaduud,Dhuusamarreeb,Drought related,Other,730
30/04/2018,201816,Galgaduud,Dhuusamarreeb,Galgaduud,Dhuusamarreeb,Flood,Shelter,210
30/04/2018,201814,Galgaduud,Dhuusamarreeb,Galgaduud,Dhuusamarreeb,Other,Food,8
30/04/2018,201814,Galgaduud,Dhuusamarreeb,Galgaduud,Dhuusamarreeb,Other,Livelihood Support,8
31/05/2018,201818,Galgaduud,Dhuusamarreeb,Hiraan,Belet Weyne,Flood,Food,6
31/03/2018,201811,Galgaduud,Dhuusamarreeb,Mudug,Gaalkacyo,Drought related,Health,10
31/05/2018,201821,Galgaduud,Dhuusamarreeb,Mudug,Gaalkacyo,Drought related,Transport,6
30/04/2018,201814,Galgaduud,Dhuusamarreeb,Mudug,Xarardheere,Conflict/Insecurity,Food,8
30/04/2018,201816,Galgaduud,Dhuusamarreeb,Mudug,Xarardheere,Conflict/Insecurity,Food,11
31/08/2018,201831,Galgaduud,Dhuusamarreeb,Mudug,Xarardheere,Conflict/Insecurity,Food,320
28/02/2018,201808,Galgaduud,Dhuusamarreeb,Mudug,Xarardheere,Conflict/Insecurity,Food,7
31/03/2018,201810,Galgaduud,Dhuusamarreeb,Mudug,Xarardheere,Conflict/Insecurity,Food,15
31/10/2018,201841,Galgaduud,Dhuusamarreeb,Mudug,Xarardheere,Conflict/Insecurity,Food,16
30/09/2018,201838,Galgaduud,Dhuusamarreeb,Mudug,Xarardheere,Conflict/Insecurity,Food,9
28/02/2018,201808,Galgaduud,Dhuusamarreeb,Mudug,Xarardheere,Conflict/Insecurity,Livelihood Support,6
30/04/2018,201814,Galgaduud,Dhuusamarreeb,Mudug,Xarardheere,Conflict/Insecurity,Shelter,7
28/02/2018,201809,Galgaduud,Dhuusamarreeb,Mudug,Xarardheere,Conflict/Insecurity,Shelter,7
30/09/2018,201836,Galgaduud,Dhuusamarreeb,Mudug,Xarardheere,Conflict/Insecurity,Shelter,24
30/06/2018,201823,Galgaduud,Dhuusamarreeb,Nugaal,Garoowe,Drought related,Water,3
31/08/2018,201833,Gedo,Baardheere,Bay,Diinsoor,Conflict/Insecurity,Food,7
31/08/2018,201835,Gedo,Baardheere,Bay,Diinsoor,Drought related,Food,9
31/03/2018,201809,Gedo,Baardheere,Bay,Diinsoor,Drought related,Food,12
31/01/2018,201802,Gedo,Baardheere,Bay,Diinsoor,Drought related,Livelihood Support,124
30/06/2018,201825,Gedo,Baardheere,Bay,Diinsoor,Drought related,Livelihood Support,10
31/03/2018,201811,Gedo,Baardheere,Bay,Diinsoor,Drought related,Livelihood Support,11
31/03/2018,201812,Gedo,Baardheere,Bay,Diinsoor,Drought related,Livelihood Support,12
30/09/2018,201838,Gedo,Baardheere,Bay,Diinsoor,Drought related,Livelihood Support,6
30/11/2018,201847,Gedo,Baardheere,Bay,Diinsoor,Other,Food,19
28/02/2018,201808,Gedo,Baardheere,Bay,Qansax Dheere,Drought related,Food,11
28/02/2018,201808,Gedo,Baardheere,Bay,Qansax Dheere,Drought related,Livelihood Support,5
31/07/2018,201827,Gedo,Baardheere,Bay,Qansax Dheere,Drought related,Livelihood Support,11
31/03/2018,201810,Gedo,Baardheere,Gedo,Baardheere,Conflict/Insecurity,Livelihood Support,122
30/04/2018,201815,Gedo,Baardheere,Gedo,Baardheere,Conflict/Insecurity,Protection,156
30/06/2018,201823,Gedo,Baardheere,Gedo,Baardheere,Conflict/Insecurity,Protection,123
31/05/2018,201821,Gedo,Baardheere,Gedo,Baardheere,Conflict/Insecurity,Protection,9
28/02/2018,201806,Gedo,Baardheere,Gedo,Baardheere,Drought related,Food,7
28/02/2018,201808,Gedo,Baardheere,Gedo,Baardheere,Drought related,Food,111
31/01/2018,201802,Gedo,Baardheere,Gedo,Baardheere,Drought related,Food,7
31/01/2018,201805,Gedo,Baardheere,Gedo,Baardheere,Drought related,Food,10
30/06/2018,201826,Gedo,Baardheere,Gedo,Baardheere,Drought related,Food,9
31/03/2018,201810,Gedo,Baardheere,Gedo,Baardheere,Drought related,Food,11
31/03/2018,201811,Gedo,Baardheere,Gedo,Baardheere,Drought related,Food,128
31/05/2018,201821,Gedo,Baardheere,Gedo,Baardheere,Drought related,Food,11
31/01/2018,201805,Gedo,Baardheere,Gedo,Baardheere,Drought related,Livelihood Support,6
31/07/2018,201828,Gedo,Baardheere,Gedo,Baardheere,Drought related,Livelihood Support,9
30/06/2018,201825,Gedo,Baardheere,Gedo,Baardheere,Drought related,Livelihood Support,6
31/05/2018,201821,Gedo,Baardheere,Gedo,Baardheere,Drought related,Livelihood Support,25
30/04/2018,201817,Gedo,Baardheere,Gedo,Baardheere,Flood,Food,15972
31/05/2018,201821,Gedo,Baardheere,Gedo,Baardheere,Flood,Food,6
30/04/2018,201816,Gedo,Baardheere,Gedo,Baardheere,Flood,Livelihood Support,405
30/04/2018,201817,Gedo,Baardheere,Gedo,Baardheere,Flood,Livelihood Support,220
30/04/2018,201817,Gedo,Baardheere,Gedo,Baardheere,Flood,Shelter,312
31/07/2018,201828,Gedo,Baardheere,Gedo,Baardheere,Other,Food,9
30/06/2018,201825,Gedo,Baardheere,Gedo,Garbahaarey,Conflict/Insecurity,Food,132
30/11/2018,201845,Gedo,Baardheere,Gedo,Garbahaarey,Conflict/Insecurity,Food,11
30/11/2018,201847,Gedo,Baardheere,Gedo,Garbahaarey,Conflict/Insecurity,Food,19
31/10/2018,201842,Gedo,Baardheere,Gedo,Garbahaarey,Conflict/Insecurity,Protection,229
30/11/2018,201846,Gedo,Baardheere,Middle Juba,Bu'aale,Conflict/Insecurity,Food,11
30/09/2018,201837,Gedo,Baardheere,Middle Juba,Bu'aale,Conflict/Insecurity,Food,7
30/09/2018,201837,Gedo,Baardheere,Middle Juba,Bu'aale,Conflict/Insecurity,Shelter,18
30/09/2018,201836,Gedo,Baardheere,Middle Juba,Bu'aale,Drought related,Livelihood Support,10
30/11/2018,201845,Gedo,Baardheere,Middle Juba,Saakow,Conflict/Insecurity,Food,21
30/11/2018,201846,Gedo,Baardheere,Middle Juba,Saakow,Conflict/Insecurity,Food,8
30/11/2018,201847,Gedo,Baardheere,Middle Juba,Saakow,Conflict/Insecurity,Food,20
30/11/2018,201847,Gedo,Baardheere,Middle Juba,Saakow,Conflict/Insecurity,Livelihood Support,11
30/09/2018,201839,Gedo,Baardheere,Middle Juba,Saakow,Conflict/Insecurity,Protection,102
30/04/2018,201815,Gedo,Baardheere,Middle Juba,Saakow,Drought related,Food,11
31/08/2018,201832,Gedo,Baardheere,Middle Juba,Saakow,Drought related,Food,7
31/08/2018,201833,Gedo,Baardheere,Middle Juba,Saakow,Drought related,Food,7
31/01/2018,201803,Gedo,Baardheere,Middle Juba,Saakow,Drought related,Food,6
31/01/2018,201805,Gedo,Baardheere,Middle Juba,Saakow,Drought related,Food,7
31/07/2018,201828,Gedo,Baardheere,Middle Juba,Saakow,Drought related,Food,9
31/03/2018,201811,Gedo,Baardheere,Middle Juba,Saakow,Drought related,Food,6
31/05/2018,201821,Gedo,Baardheere,Middle Juba,Saakow,Drought related,Food,7
30/04/2018,201815,Gedo,Baardheere,Middle Juba,Saakow,Drought related,Livelihood Support,141
31/08/2018,201832,Gedo,Baardheere,Middle Juba,Saakow,Drought related,Livelihood Support,8
31/08/2018,201833,Gedo,Baardheere,Middle Juba,Saakow,Drought related,Livelihood Support,11
28/02/2018,201806,Gedo,Baardheere,Middle Juba,Saakow,Drought related,Livelihood Support,11
31/01/2018,201803,Gedo,Baardheere,Middle Juba,Saakow,Drought related,Livelihood Support,10
31/01/2018,201804,Gedo,Baardheere,Middle Juba,Saakow,Drought related,Livelihood Support,6
31/07/2018,201827,Gedo,Baardheere,Middle Juba,Saakow,Drought related,Livelihood Support,6
31/07/2018,201828,Gedo,Baardheere,Middle Juba,Saakow,Drought related,Livelihood Support,6
30/06/2018,201824,Gedo,Baardheere,Middle Juba,Saakow,Drought related,Livelihood Support,9
31/03/2018,201811,Gedo,Baardheere,Middle Juba,Saakow,Drought related,Livelihood Support,8
31/05/2018,201818,Gedo,Baardheere,Middle Juba,Saakow,Flood,Food,112
30/11/2018,201846,Gedo,Baardheere,Middle Juba,Saakow,Other,Food,10
31/07/2018,201829,Gedo,Belet Xaawo,Gedo,Belet Xaawo,Conflict/Insecurity,Food,4
31/07/2018,201830,Gedo,Belet Xaawo,Gedo,Belet Xaawo,Conflict/Insecurity,Food,5
31/10/2018,201842,Gedo,Belet Xaawo,Gedo,Belet Xaawo,Conflict/Insecurity,Food,6
31/10/2018,201843,Gedo,Belet Xaawo,Gedo,Belet Xaawo,Conflict/Insecurity,Food,5
31/10/2018,201841,Gedo,Belet Xaawo,Gedo,Belet Xaawo,Conflict/Insecurity,Other,4
31/08/2018,201831,Gedo,Belet Xaawo,Gedo,Belet Xaawo,Drought related,Food,5
28/02/2018,201807,Gedo,Belet Xaawo,Gedo,Belet Xaawo,Drought related,Food,8
28/02/2018,201808,Gedo,Belet Xaawo,Gedo,Belet Xaawo,Drought related,Food,4
31/01/2018,201801,Gedo,Belet Xaawo,Gedo,Belet Xaawo,Drought related,Food,17
31/01/2018,201802,Gedo,Belet Xaawo,Gedo,Belet Xaawo,Drought related,Food,15
31/01/2018,201803,Gedo,Belet Xaawo,Gedo,Belet Xaawo,Drought related,Food,8
31/01/2018,201804,Gedo,Belet Xaawo,Gedo,Belet Xaawo,Drought related,Food,6
31/01/2018,201805,Gedo,Belet Xaawo,Gedo,Belet Xaawo,Drought related,Food,12
31/07/2018,201827,Gedo,Belet Xaawo,Gedo,Belet Xaawo,Drought related,Food,12
31/07/2018,201830,Gedo,Belet Xaawo,Gedo,Belet Xaawo,Drought related,Food,5
30/06/2018,201825,Gedo,Belet Xaawo,Gedo,Belet Xaawo,Drought related,Food,3
31/03/2018,201810,Gedo,Belet Xaawo,Gedo,Belet Xaawo,Drought related,Food,22
31/05/2018,201819,Gedo,Belet Xaawo,Gedo,Belet Xaawo,Drought related,Food,5
31/05/2018,201820,Gedo,Belet Xaawo,Gedo,Belet Xaawo,Drought related,Food,34
31/05/2018,201821,Gedo,Belet Xaawo,Gedo,Belet Xaawo,Drought related,Food,5
31/10/2018,201843,Gedo,Belet Xaawo,Gedo,Belet Xaawo,Drought related,Food,6
30/09/2018,201836,Gedo,Belet Xaawo,Gedo,Belet Xaawo,Drought related,Food,4
30/09/2018,201838,Gedo,Belet Xaawo,Gedo,Belet Xaawo,Drought related,Food,9
28/02/2018,201807,Gedo,Belet Xaawo,Gedo,Belet Xaawo,Drought related,Livelihood Support,28
28/02/2018,201808,Gedo,Belet Xaawo,Gedo,Belet Xaawo,Drought related,Livelihood Support,8
31/01/2018,201801,Gedo,Belet Xaawo,Gedo,Belet Xaawo,Drought related,Livelihood Support,12
31/01/2018,201802,Gedo,Belet Xaawo,Gedo,Belet Xaawo,Drought related,Livelihood Support,5
31/01/2018,201803,Gedo,Belet Xaawo,Gedo,Belet Xaawo,Drought related,Livelihood Support,4
31/07/2018,201827,Gedo,Belet Xaawo,Gedo,Belet Xaawo,Drought related,Livelihood Support,3
31/03/2018,201810,Gedo,Belet Xaawo,Gedo,Belet Xaawo,Drought related,Livelihood Support,6
31/05/2018,201819,Gedo,Belet Xaawo,Gedo,Belet Xaawo,Drought related,Livelihood Support,4
31/05/2018,201820,Gedo,Belet Xaawo,Gedo,Belet Xaawo,Drought related,Livelihood Support,66
31/05/2018,201821,Gedo,Belet Xaawo,Gedo,Belet Xaawo,Drought related,Livelihood Support,19
30/09/2018,201836,Gedo,Belet Xaawo,Gedo,Belet Xaawo,Drought related,Livelihood Support,3
28/02/2018,201805,Gedo,Belet Xaawo,Gedo,Belet Xaawo,Drought related,Other,7
31/01/2018,201802,Gedo,Belet Xaawo,Gedo,Belet Xaawo,Drought related,Other,5
31/01/2018,201804,Gedo,Belet Xaawo,Gedo,Belet Xaawo,Drought related,Other,8
31/07/2018,201827,Gedo,Belet Xaawo,Gedo,Belet Xaawo,Drought related,Other,28
30/09/2018,201836,Gedo,Belet Xaawo,Gedo,Belet Xaawo,Drought related,Other,4
31/01/2018,201803,Gedo,Belet Xaawo,Gedo,Belet Xaawo,Drought related,Shelter,8
31/05/2018,201821,Gedo,Belet Xaawo,Gedo,Belet Xaawo,Drought related,Shelter,5
30/04/2018,201816,Gedo,Belet Xaawo,Gedo,Belet Xaawo,Other,Food,3
31/08/2018,201831,Gedo,Belet Xaawo,Gedo,Belet Xaawo,Other,Food,5
31/08/2018,201833,Gedo,Belet Xaawo,Gedo,Belet Xaawo,Other,Food,4
31/01/2018,201801,Gedo,Belet Xaawo,Gedo,Belet Xaawo,Other,Food,5
31/07/2018,201830,Gedo,Belet Xaawo,Gedo,Belet Xaawo,Other,Food,4
31/07/2018,201831,Gedo,Belet Xaawo,Gedo,Belet Xaawo,Other,Food,5
30/06/2018,201823,Gedo,Belet Xaawo,Gedo,Belet Xaawo,Other,Food,10
30/06/2018,201825,Gedo,Belet Xaawo,Gedo,Belet Xaawo,Other,Food,5
30/06/2018,201826,Gedo,Belet Xaawo,Gedo,Belet Xaawo,Other,Food,4
31/05/2018,201822,Gedo,Belet Xaawo,Gedo,Belet Xaawo,Other,Food,14
30/11/2018,201845,Gedo,Belet Xaawo,Gedo,Belet Xaawo,Other,Food,13
31/10/2018,201840,Gedo,Belet Xaawo,Gedo,Belet Xaawo,Other,Food,10
31/10/2018,201842,Gedo,Belet Xaawo,Gedo,Belet Xaawo,Other,Food,2
28/02/2018,201807,Gedo,Belet Xaawo,Gedo,Belet Xaawo,Other,Livelihood Support,4
31/07/2018,201827,Gedo,Belet Xaawo,Gedo,Belet Xaawo,Other,Other,3
31/08/2018,201833,Gedo,Belet Xaawo,Gedo,Ceel Waaq,Conflict/Insecurity,Protection,5
30/09/2018,201838,Gedo,Belet Xaawo,Gedo,Doolow,Conflict/Insecurity,Food,7
30/04/2018,201817,Gedo,Ceel Waaq,Gedo,Ceel Waaq,Flood,Livelihood Support,3000
31/08/2018,201832,Gedo,Doolow,Bakool,Ceel Barde,Drought related,Shelter,5
30/09/2018,201839,Gedo,Doolow,Bakool,Rab Dhuure,Drought related,Shelter,5
30/09/2018,201838,Gedo,Doolow,Bakool,Rab Dhuure,Other,Livelihood Support,3
30/04/2018,201816,Gedo,Doolow,Bakool,Tayeeglow,Drought related,Food,4
31/12/2018,201852,Gedo,Doolow,Bakool,Tayeeglow,Drought related,Livelihood Support,5
30/09/2018,201839,Gedo,Doolow,Bakool,Tayeeglow,Drought related,Shelter,5
31/08/2018,201833,Gedo,Doolow,Bakool,Tayeeglow,Other,Livelihood Support,5
31/08/2018,201835,Gedo,Doolow,Bakool,Tayeeglow,Other,Livelihood Support,3
30/09/2018,201836,Gedo,Doolow,Bakool,Tayeeglow,Other,Livelihood Support,4
31/08/2018,201833,Gedo,Doolow,Bakool,Tayeeglow,Other,Shelter,4
30/09/2018,201836,Gedo,Doolow,Bakool,Tayeeglow,Other,Shelter,5
28/02/2018,201808,Gedo,Doolow,Bakool,Waajid,Drought related,Livelihood Support,17
30/09/2018,201839,Gedo,Doolow,Bakool,Waajid,Drought related,Shelter,3
31/10/2018,201841,Gedo,Doolow,Bakool,Waajid,Other,Food,6
31/12/2018,201850,Gedo,Doolow,Bakool,Waajid,Other,Livelihood Support,4
31/12/2018,201852,Gedo,Doolow,Bakool,Waajid,Other,Livelihood Support,4
30/09/2018,201838,Gedo,Doolow,Bakool,Waajid,Other,Livelihood Support,3
30/09/2018,201837,Gedo,Doolow,Bakool,Waajid,Other,Shelter,5
30/11/2018,201845,Gedo,Doolow,Bakool,Xudur,Drought related,Food,3
31/12/2018,201851,Gedo,Doolow,Bakool,Xudur,Drought related,Livelihood Support,5
30/11/2018,201845,Gedo,Doolow,Bakool,Xudur,Drought related,Livelihood Support,9
31/10/2018,201841,Gedo,Doolow,Bakool,Xudur,Drought related,Livelihood Support,2
31/10/2018,201843,Gedo,Doolow,Bakool,Xudur,Drought related,Livelihood Support,2
31/10/2018,201843,Gedo,Doolow,Bakool,Xudur,Drought related,Shelter,5
31/12/2018,201850,Gedo,Doolow,Bakool,Xudur,Other,Livelihood Support,13
31/12/2018,201851,Gedo,Doolow,Bakool,Xudur,Other,Livelihood Support,9
31/10/2018,201840,Gedo,Doolow,Bakool,Xudur,Other,Livelihood Support,12
31/10/2018,201841,Gedo,Doolow,Bakool,Xudur,Other,Livelihood Support,4
31/10/2018,201841,Gedo,Doolow,Bakool,Xudur,Other,Shelter,5
31/08/2018,201832,Gedo,Doolow,Bay,Baidoa,Other,Shelter,4
30/04/2018,201814,Gedo,Doolow,Bay,Diinsoor,Drought related,Food,8
30/04/2018,201816,Gedo,Doolow,Bay,Diinsoor,Drought related,Food,12
28/02/2018,201806,Gedo,Doolow,Bay,Diinsoor,Drought related,Food,4
28/02/2018,201807,Gedo,Doolow,Bay,Diinsoor,Drought related,Food,9
31/01/2018,201802,Gedo,Doolow,Bay,Diinsoor,Drought related,Food,4
31/07/2018,201831,Gedo,Doolow,Bay,Diinsoor,Drought related,Food,4
31/03/2018,201811,Gedo,Doolow,Bay,Diinsoor,Drought related,Food,21
31/03/2018,201813,Gedo,Doolow,Bay,Diinsoor,Drought related,Food,7
31/10/2018,201841,Gedo,Doolow,Bay,Diinsoor,Drought related,Food,5
31/08/2018,201834,Gedo,Doolow,Bay,Diinsoor,Drought related,Livelihood Support,3
31/12/2018,201851,Gedo,Doolow,Bay,Diinsoor,Drought related,Livelihood Support,3
30/09/2018,201836,Gedo,Doolow,Bay,Diinsoor,Drought related,Livelihood Support,5
31/08/2018,201832,Gedo,Doolow,Bay,Diinsoor,Drought related,Shelter,5
31/08/2018,201833,Gedo,Doolow,Bay,Diinsoor,Drought related,Shelter,10
31/08/2018,201834,Gedo,Doolow,Bay,Diinsoor,Drought related,Shelter,4
30/09/2018,201837,Gedo,Doolow,Bay,Diinsoor,Drought related,Shelter,4
30/09/2018,201837,Gedo,Doolow,Bay,Diinsoor,Other,Food,7
31/08/2018,201834,Gedo,Doolow,Bay,Diinsoor,Other,Livelihood Support,5
31/12/2018,201850,Gedo,Doolow,Bay,Diinsoor,Other,Livelihood Support,5
31/12/2018,201852,Gedo,Doolow,Bay,Diinsoor,Other,Livelihood Support,4
31/10/2018,201840,Gedo,Doolow,Bay,Diinsoor,Other,Livelihood Support,108
31/10/2018,201841,Gedo,Doolow,Bay,Diinsoor,Other,Livelihood Support,3
30/09/2018,201838,Gedo,Doolow,Bay,Diinsoor,Other,Livelihood Support,9
31/08/2018,201835,Gedo,Doolow,Bay,Diinsoor,Other,Shelter,4
30/09/2018,201839,Gedo,Doolow,Bay,Diinsoor,Other,Shelter,7
30/04/2018,201814,Gedo,Doolow,Bay,Qansax Dheere,Drought related,Food,5
30/04/2018,201816,Gedo,Doolow,Bay,Qansax Dheere,Drought related,Food,4
31/08/2018,201831,Gedo,Doolow,Bay,Qansax Dheere,Drought related,Food,5
28/02/2018,201806,Gedo,Doolow,Bay,Qansax Dheere,Drought related,Food,6
28/02/2018,201807,Gedo,Doolow,Bay,Qansax Dheere,Drought related,Food,5
28/02/2018,201809,Gedo,Doolow,Bay,Qansax Dheere,Drought related,Food,25
31/01/2018,201801,Gedo,Doolow,Bay,Qansax Dheere,Drought related,Food,4
31/01/2018,201802,Gedo,Doolow,Bay,Qansax Dheere,Drought related,Food,6
31/03/2018,201811,Gedo,Doolow,Bay,Qansax Dheere,Drought related,Food,4
31/03/2018,201813,Gedo,Doolow,Bay,Qansax Dheere,Drought related,Food,4
31/10/2018,201843,Gedo,Doolow,Bay,Qansax Dheere,Drought related,Food,6
30/09/2018,201839,Gedo,Doolow,Bay,Qansax Dheere,Drought related,Food,3
31/08/2018,201832,Gedo,Doolow,Bay,Qansax Dheere,Drought related,Livelihood Support,7
31/08/2018,201833,Gedo,Doolow,Bay,Qansax Dheere,Drought related,Livelihood Support,4
31/12/2018,201850,Gedo,Doolow,Bay,Qansax Dheere,Drought related,Livelihood Support,12
31/12/2018,201851,Gedo,Doolow,Bay,Qansax Dheere,Drought related,Livelihood Support,8
31/12/2018,201852,Gedo,Doolow,Bay,Qansax Dheere,Drought related,Livelihood Support,11
31/10/2018,201843,Gedo,Doolow,Bay,Qansax Dheere,Drought related,Livelihood Support,4
30/09/2018,201839,Gedo,Doolow,Bay,Qansax Dheere,Drought related,Livelihood Support,2
30/11/2018,201845,Gedo,Doolow,Bay,Qansax Dheere,Drought related,Other,147
31/08/2018,201832,Gedo,Doolow,Bay,Qansax Dheere,Drought related,Shelter,3
31/10/2018,201841,Gedo,Doolow,Bay,Qansax Dheere,Drought related,Shelter,3
30/09/2018,201836,Gedo,Doolow,Bay,Qansax Dheere,Drought related,Shelter,5
30/09/2018,201839,Gedo,Doolow,Bay,Qansax Dheere,Drought related,Shelter,3
31/10/2018,201843,Gedo,Doolow,Bay,Qansax Dheere,Other,Food,3
31/08/2018,201833,Gedo,Doolow,Bay,Qansax Dheere,Other,Livelihood Support,5
31/08/2018,201834,Gedo,Doolow,Bay,Qansax Dheere,Other,Livelihood Support,5
31/08/2018,201835,Gedo,Doolow,Bay,Qansax Dheere,Other,Livelihood Support,4
31/12/2018,201850,Gedo,Doolow,Bay,Qansax Dheere,Other,Livelihood Support,3
31/12/2018,201852,Gedo,Doolow,Bay,Qansax Dheere,Other,Livelihood Support,3
31/10/2018,201841,Gedo,Doolow,Bay,Qansax Dheere,Other,Livelihood Support,4
31/10/2018,201843,Gedo,Doolow,Bay,Qansax Dheere,Other,Livelihood Support,8
30/09/2018,201837,Gedo,Doolow,Bay,Qansax Dheere,Other,Livelihood Support,4
30/09/2018,201838,Gedo,Doolow,Bay,Qansax Dheere,Other,Livelihood Support,8
31/08/2018,201833,Gedo,Doolow,Bay,Qansax Dheere,Other,Shelter,5
30/09/2018,201839,Gedo,Doolow,Bay,Qansax Dheere,Other,Shelter,5
31/01/2018,201802,Gedo,Doolow,Gedo,Garbahaarey,Drought related,Food,4
30/09/2018,201836,Gedo,Doolow,Gedo,Garbahaarey,Drought related,Livelihood Support,4
30/09/2018,201836,Gedo,Doolow,Gedo,Garbahaarey,Other,Livelihood Support,4
30/04/2018,201814,Gedo,Doolow,Gedo,Luuq,Drought related,Food,10
30/04/2018,201816,Gedo,Doolow,Gedo,Luuq,Drought related,Food,6
31/08/2018,201831,Gedo,Doolow,Gedo,Luuq,Drought related,Food,8
28/02/2018,201806,Gedo,Doolow,Gedo,Luuq,Drought related,Food,5
28/02/2018,201807,Gedo,Doolow,Gedo,Luuq,Drought related,Food,26
31/01/2018,201801,Gedo,Doolow,Gedo,Luuq,Drought related,Food,4
31/01/2018,201802,Gedo,Doolow,Gedo,Luuq,Drought related,Food,4
31/01/2018,201803,Gedo,Doolow,Gedo,Luuq,Drought related,Food,9
30/09/2018,201836,Gedo,Doolow,Gedo,Luuq,Drought related,Food,3
30/09/2018,201838,Gedo,Doolow,Gedo,Luuq,Drought related,Food,4
28/02/2018,201807,Gedo,Doolow,Gedo,Luuq,Drought related,Livelihood Support,5
30/09/2018,201837,Gedo,Doolow,Gedo,Luuq,Drought related,Livelihood Support,3
30/09/2018,201839,Gedo,Doolow,Gedo,Luuq,Drought related,Livelihood Support,3
31/08/2018,201833,Gedo,Doolow,Gedo,Luuq,Drought related,Shelter,4
31/08/2018,201835,Gedo,Doolow,Gedo,Luuq,Drought related,Shelter,5
31/10/2018,201841,Gedo,Doolow,Gedo,Luuq,Drought related,Shelter,4
30/09/2018,201836,Gedo,Doolow,Gedo,Luuq,Drought related,Shelter,3
30/09/2018,201839,Gedo,Doolow,Gedo,Luuq,Drought related,Shelter,3
30/09/2018,201839,Gedo,Doolow,Gedo,Luuq,Other,Shelter,4
31/12/2018,201850,Gedo,Doolow,Middle Juba,Saakow,Drought related,Food,3
31/03/2018,201813,Gedo,Doolow,Middle Juba,Saakow,Drought related,Food,5
31/08/2018,201832,Gedo,Doolow,Middle Juba,Saakow,Drought related,Livelihood Support,5
31/08/2018,201834,Gedo,Doolow,Middle Juba,Saakow,Drought related,Livelihood Support,4
31/12/2018,201850,Gedo,Doolow,Middle Juba,Saakow,Drought related,Livelihood Support,10
31/12/2018,201851,Gedo,Doolow,Middle Juba,Saakow,Drought related,Livelihood Support,3
31/08/2018,201832,Gedo,Doolow,Middle Juba,Saakow,Drought related,Shelter,4
31/08/2018,201833,Gedo,Doolow,Middle Juba,Saakow,Drought related,Shelter,4
31/08/2018,201833,Gedo,Doolow,Middle Juba,Saakow,Other,Livelihood Support,3
31/08/2018,201834,Gedo,Doolow,Middle Juba,Saakow,Other,Livelihood Support,5
31/12/2018,201851,Gedo,Doolow,Middle Juba,Saakow,Other,Livelihood Support,5
30/09/2018,201838,Gedo,Doolow,Middle Juba,Saakow,Other,Livelihood Support,5
31/12/2018,201851,Gedo,Doolow,Middle Juba,Saakow,Other,Other,4
30/09/2018,201839,Gedo,Doolow,Middle Juba,Saakow,Other,Shelter,3
30/04/2018,201813,Gedo,Garbahaarey,Bay,Diinsoor,Drought related,Food,9
31/07/2018,201829,Gedo,Garbahaarey,Bay,Diinsoor,Drought related,Food,9
30/06/2018,201822,Gedo,Garbahaarey,Bay,Diinsoor,Drought related,Food,7
31/03/2018,201811,Gedo,Garbahaarey,Bay,Diinsoor,Drought related,Food,16
31/03/2018,201813,Gedo,Garbahaarey,Bay,Diinsoor,Drought related,Food,14
31/05/2018,201822,Gedo,Garbahaarey,Bay,Diinsoor,Drought related,Food,7
30/09/2018,201837,Gedo,Garbahaarey,Bay,Diinsoor,Drought related,Food,17
31/08/2018,201834,Gedo,Garbahaarey,Bay,Diinsoor,Drought related,Health,7
30/09/2018,201837,Gedo,Garbahaarey,Bay,Diinsoor,Drought related,Livelihood Support,8
30/09/2018,201837,Gedo,Garbahaarey,Bay,Diinsoor,Drought related,Shelter,9
30/06/2018,201822,Gedo,Garbahaarey,Bay,Diinsoor,Flood,Food,7
31/01/2018,201803,Gedo,Garbahaarey,Bay,Qansax Dheere,Drought related,Food,6
30/06/2018,201824,Gedo,Garbahaarey,Bay,Qansax Dheere,Drought related,Food,16
31/08/2018,201834,Gedo,Garbahaarey,Bay,Qansax Dheere,Drought related,Health,8
31/08/2018,201833,Gedo,Garbahaarey,Bay,Qansax Dheere,Drought related,Humanitarian Aid,8
31/01/2018,201803,Gedo,Garbahaarey,Bay,Qansax Dheere,Drought related,Livelihood Support,5
31/07/2018,201830,Gedo,Garbahaarey,Bay,Qansax Dheere,Drought related,Livelihood Support,6
30/11/2018,201845,Gedo,Garbahaarey,Bay,Qansax Dheere,Drought related,Livelihood Support,6
30/11/2018,201847,Gedo,Garbahaarey,Bay,Qansax Dheere,Drought related,Livelihood Support,14
30/09/2018,201838,Gedo,Garbahaarey,Bay,Qansax Dheere,Drought related,Livelihood Support,7
31/08/2018,201833,Gedo,Garbahaarey,Bay,Qansax Dheere,Drought related,Shelter,8
31/05/2018,201821,Gedo,Garbahaarey,Bay,Qansax Dheere,Flood,Food,7
