gender,age,grade,q1a,q1b,q2a,q2b,q3a,q1,q2,q3,q4
Boy,8,3,Sometimes,Sometimes,Most or all of the time,Most or all of the time,Most or all of the time,Maintained,Maintained,Decreased,Decreased
Boy,8,3,Most or all of the time,Most or all of the time,Most or all of the time,Sometimes,Most or all of the time,Maintained,Decreased,Maintained,Maintained
Girl,8,3,Sometimes,Sometimes,A little or none of the time,Sometimes,A little or none of the time,Maintained,Increased,Increased,Decreased
Boy,9,3,Most or all of the time,A little or none of the time,Sometimes,Sometimes,Most or all of the time,Decreased,Maintained,Maintained,Increased
NA,9,4,A little or none of the time,Most or all of the time,A little or none of the time,Most or all of the time,A little or none of the time,Increased,Increased,Increased,Increased
Boy,9,4,Most or all of the time,Most or all of the time,Most or all of the time,Most or all of the time,Most or all of the time,Maintained,Maintained,Maintained,Maintained
Boy,9,4,A little or none of the time,A little or none of the time,A little or none of the time,Sometimes,Most or all of the time,Maintained,Increased,Maintained,Maintained
Boy,9,4,Sometimes,Sometimes,Sometimes,Most or all of the time,Most or all of the time,Maintained,Increased,Maintained,Increased
Boy,10,4,Sometimes,Most or all of the time,Sometimes,Most or all of the time,Sometimes,Increased,Increased,Increased,Decreased
Girl,9,4,Most or all of the time,Most or all of the time,Sometimes,Most or all of the time,Sometimes,Maintained,Increased,Increased,Maintained
Prefer not to answer,9,4,Most or all of the time,Most or all of the time,Sometimes,Sometimes,Sometimes,Maintained,Maintained,Increased,Decreased
Prefer not to answer,9,NA,A little or none of the time,A little or none of the time,A little or none of the time,Sometimes,Most or all of the time,Maintained,Increased,Maintained,Increased
Boy,10,4,Sometimes,Most or all of the time,Most or all of the time,Most or all of the time,A little or none of the time,Increased,Maintained,Increased,Maintained
Boy,10,4,A little or none of the time,A little or none of the time,Sometimes,Sometimes,Sometimes,Maintained,Maintained,Maintained,Maintained
Girl,10,4,Sometimes,Most or all of the time,Sometimes,Most or all of the time,Most or all of the time,Increased,Increased,Maintained,Increased
Girl,8,4,Sometimes,Most or all of the time,Sometimes,Most or all of the time,Most or all of the time,Increased,Increased,Maintained,Increased
Girl,10,4,Most or all of the time,Most or all of the time,Sometimes,Most or all of the time,Sometimes,Maintained,Increased,Increased,Maintained
Girl,9,4,Most or all of the time,Most or all of the time,Sometimes,Most or all of the time,Most or all of the time,Maintained,Increased,Maintained,Increased
Boy,9,4,Sometimes,Sometimes,Sometimes,Sometimes,Most or all of the time,Maintained,Maintained,Maintained,Maintained
Girl,9,4,Most or all of the time,Most or all of the time,Most or all of the time,Sometimes,Most or all of the time,Maintained,Decreased,Maintained,Maintained
Girl,9,4,Sometimes,Sometimes,Sometimes,Most or all of the time,Most or all of the time,Maintained,Increased,Maintained,Increased
Boy,11,4,Sometimes,Sometimes,Sometimes,Most or all of the time,Most or all of the time,Maintained,Increased,Maintained,Maintained
Boy,10,4,Sometimes,Most or all of the time,Sometimes,Most or all of the time,A little or none of the time,Increased,Increased,Increased,Maintained
Boy,11,5,Sometimes,Sometimes,A little or none of the time,Sometimes,Sometimes,Maintained,Increased,Maintained,Increased
Girl,10,5,Sometimes,Sometimes,Most or all of the time,Most or all of the time,Sometimes,Maintained,Maintained,Increased,Maintained
Boy,11,5,Sometimes,Sometimes,A little or none of the time,A little or none of the time,Most or all of the time,Maintained,Maintained,Maintained,Decreased
Boy,11,5,Sometimes,Sometimes,Sometimes,Sometimes,Most or all of the time,Maintained,Maintained,Maintained,Maintained
Girl,11,5,Sometimes,Sometimes,Sometimes,Sometimes,Most or all of the time,Maintained,Maintained,Maintained,Decreased
Boy,11,5,Most or all of the time,Most or all of the time,A little or none of the time,Most or all of the time,Sometimes,Maintained,Increased,Maintained,Increased
Girl,10,5,Most or all of the time,Most or all of the time,A little or none of the time,A little or none of the time,Sometimes,Maintained,Maintained,Maintained,Maintained
Boy,10,5,Most or all of the time,Most or all of the time,Most or all of the time,Most or all of the time,A little or none of the time,Maintained,Maintained,Increased,Maintained
Boy,10,5,Sometimes,A little or none of the time,A little or none of the time,Sometimes,A little or none of the time,Decreased,Increased,Increased,Maintained
NA,10,5,Sometimes,Sometimes,A little or none of the time,Most or all of the time,Most or all of the time,Maintained,Increased,Maintained,Increased
Boy,11,5,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Maintained,Maintained,Maintained,Maintained
Boy,11,5,Most or all of the time,Most or all of the time,Sometimes,Most or all of the time,Most or all of the time,Maintained,Increased,Maintained,Increased
Boy,10,5,Most or all of the time,Most or all of the time,Sometimes,Most or all of the time,Most or all of the time,Maintained,Increased,Maintained,Maintained
Boy,10,5,Sometimes,Sometimes,Sometimes,A little or none of the time,Sometimes,Maintained,Decreased,Increased,Maintained
Girl,10,5,Sometimes,Sometimes,Most or all of the time,Most or all of the time,Sometimes,Maintained,Maintained,Maintained,Maintained
Not listed (may specify here),11,5,Most or all of the time,Most or all of the time,Most or all of the time,Most or all of the time,Most or all of the time,Maintained,Maintained,Maintained,Maintained
NA,18,12,NA,NA,NA,NA,NA,NA,NA,NA,NA
Boy,10,5,Most or all of the time,Most or all of the time,Most or all of the time,Most or all of the time,Most or all of the time,Maintained,Maintained,Decreased,Maintained
Girl,8,3,Sometimes,Sometimes,A little or none of the time,Sometimes,Most or all of the time,Maintained,Increased,Decreased,Increased
Boy,9,3,Most or all of the time,Most or all of the time,Sometimes,Sometimes,Most or all of the time,Maintained,Maintained,Maintained,Maintained
Girl,10,5,Sometimes,Sometimes,Most or all of the time,Most or all of the time,Sometimes,Maintained,Maintained,Increased,Maintained
Boy,11,5,Sometimes,Sometimes,Sometimes,Most or all of the time,A little or none of the time,Maintained,Increased,Increased,Increased
Boy,10,5,Sometimes,Sometimes,A little or none of the time,A little or none of the time,A little or none of the time,Maintained,Maintained,Maintained,Maintained
Boy,10,5,A little or none of the time,Sometimes,Sometimes,Sometimes,Most or all of the time,Increased,Maintained,Maintained,Increased
NA,10,5,Sometimes,Sometimes,A little or none of the time,A little or none of the time,Most or all of the time,Maintained,Maintained,Maintained,Maintained
Boy,10,NA,Most or all of the time,Most or all of the time,A little or none of the time,A little or none of the time,A little or none of the time,Maintained,Maintained,Maintained,Maintained
Boy,10,5,NA,A little or none of the time,A little or none of the time,A little or none of the time,A little or none of the time,NA,Maintained,Maintained,NA
Boy,10,5,Sometimes,Sometimes,Sometimes,Sometimes,Most or all of the time,Maintained,Maintained,Maintained,Maintained
Boy,11,5,Sometimes,Sometimes,Sometimes,Sometimes,Most or all of the time,Maintained,Maintained,Maintained,Maintained
Girl,10,5,Sometimes,Sometimes,Sometimes,Sometimes,A little or none of the time,Maintained,Maintained,Increased,Maintained
Prefer not to answer,11,5,A little or none of the time,A little or none of the time,Sometimes,Most or all of the time,Sometimes,Maintained,Increased,Increased,Increased
Girl,NA,5,Sometimes,Most or all of the time,A little or none of the time,Most or all of the time,Most or all of the time,Increased,Increased,Maintained,Maintained
Girl,11,5,Sometimes,Sometimes,Sometimes,Most or all of the time,Most or all of the time,Maintained,Increased,Maintained,Increased
Boy,11,5,Most or all of the time,Most or all of the time,Most or all of the time,Sometimes,Most or all of the time,Maintained,Decreased,Decreased,NA
NA,10,5,A little or none of the time,Sometimes,Sometimes,Sometimes,NA,Increased,Maintained,NA,Maintained
Girl,10,5,Sometimes,Sometimes,Sometimes,Sometimes,Most or all of the time,Maintained,Maintained,Maintained,Maintained
Girl,10,5,Sometimes,Sometimes,Sometimes,Most or all of the time,Most or all of the time,Maintained,Increased,Maintained,Decreased
Girl,11,5,Sometimes,Sometimes,Sometimes,Sometimes,NA,Maintained,Maintained,NA,NA
NA,10,5,Most or all of the time,Sometimes,Sometimes,Most or all of the time,Most or all of the time,Decreased,Increased,Maintained,Decreased
Girl,10,5,Most or all of the time,Most or all of the time,Sometimes,Most or all of the time,Sometimes,Maintained,Increased,Increased,Maintained
Girl,10,5,Sometimes,Sometimes,NA,Sometimes,A little or none of the time,Maintained,NA,Maintained,Maintained
Boy,10,5,Sometimes,Most or all of the time,Sometimes,Most or all of the time,Most or all of the time,Increased,Increased,Maintained,Increased
Prefer not to answer,10,5,Sometimes,Sometimes,A little or none of the time,Most or all of the time,A little or none of the time,Maintained,Increased,Increased,Increased
Girl,11,5,Most or all of the time,Most or all of the time,Most or all of the time,Sometimes,Sometimes,Maintained,Decreased,Increased,NA
Boy,12,5,Most or all of the time,Most or all of the time,Most or all of the time,Most or all of the time,A little or none of the time,Maintained,Maintained,Increased,Increased
NA,11,5,Most or all of the time,Most or all of the time,NA,NA,NA,Maintained,NA,NA,Increased
Girl,10,5,Sometimes,Most or all of the time,A little or none of the time,Most or all of the time,Sometimes,Increased,Increased,Increased,NA
Boy,11,5,Sometimes,Sometimes,A little or none of the time,Most or all of the time,Sometimes,Maintained,Increased,Increased,Maintained
Girl,10,5,Sometimes,Sometimes,A little or none of the time,Sometimes,Most or all of the time,Maintained,Increased,Maintained,Maintained
Girl,11,5,Sometimes,Sometimes,A little or none of the time,Sometimes,Sometimes,Maintained,Increased,Increased,Maintained
Boy,10,5,Most or all of the time,Sometimes,Most or all of the time,A little or none of the time,A little or none of the time,Decreased,Decreased,Increased,Maintained
Prefer not to answer,10,5,Most or all of the time,Most or all of the time,Sometimes,Most or all of the time,Most or all of the time,Maintained,Increased,Maintained,Maintained
Boy,10,5,Sometimes,Sometimes,Sometimes,Most or all of the time,Sometimes,Maintained,Increased,Increased,Maintained
Boy,9,4,Most or all of the time,Most or all of the time,Most or all of the time,Most or all of the time,Most or all of the time,Maintained,Maintained,Maintained,Maintained
Boy,11,5,NA,NA,NA,NA,NA,NA,NA,NA,NA
Girl,10,NA,Sometimes,Most or all of the time,Sometimes,Sometimes,NA,Increased,Maintained,NA,NA
Girl,NA,NA,Sometimes,Most or all of the time,Sometimes,Sometimes,Sometimes,Increased,Maintained,Maintained,Increased
Girl,9,4,Sometimes,Most or all of the time,Most or all of the time,Most or all of the time,Sometimes,Increased,Maintained,Maintained,Maintained
Boy,9,4,A little or none of the time,Most or all of the time,A little or none of the time,Most or all of the time,NA,Increased,Increased,NA,NA
Boy,10,4,Sometimes,Most or all of the time,NA,Most or all of the time,Most or all of the time,Increased,NA,Decreased,Increased
Boy,10,4,Most or all of the time,Sometimes,A little or none of the time,Most or all of the time,Sometimes,Decreased,Increased,Increased,Maintained
Girl,9,4,Sometimes,Most or all of the time,Most or all of the time,Most or all of the time,Most or all of the time,Increased,Maintained,Maintained,Maintained
Girl,11,4,A little or none of the time,Most or all of the time,Most or all of the time,Sometimes,Most or all of the time,Increased,Decreased,Maintained,Increased
Boy,11,NA,Most or all of the time,A little or none of the time,Most or all of the time,Most or all of the time,Most or all of the time,Decreased,Maintained,Maintained,Increased
Boy,9,4,Sometimes,Sometimes,Most or all of the time,Most or all of the time,Sometimes,Maintained,Maintained,Increased,NA
Girl,10,4,Sometimes,Most or all of the time,Sometimes,Sometimes,Most or all of the time,Increased,Maintained,Decreased,Increased
Boy,9,4,Sometimes,Sometimes,A little or none of the time,Sometimes,Sometimes,Maintained,Increased,Increased,Decreased
Girl,9,4,Sometimes,Most or all of the time,Sometimes,Most or all of the time,Sometimes,Increased,Increased,Increased,Maintained
Girl,9,4,Sometimes,Most or all of the time,Sometimes,Most or all of the time,Sometimes,Increased,Increased,Increased,Maintained
Boy,10,4,Most or all of the time,Sometimes,Sometimes,Sometimes,Most or all of the time,Decreased,Maintained,Maintained,Decreased
Boy,11,4,A little or none of the time,Most or all of the time,A little or none of the time,Most or all of the time,NA,Increased,Increased,NA,NA
Boy,9,4,Most or all of the time,Most or all of the time,Most or all of the time,Most or all of the time,Most or all of the time,Maintained,Maintained,Maintained,Maintained
Boy,10,4,Sometimes,Most or all of the time,A little or none of the time,Sometimes,Most or all of the time,Increased,Increased,Decreased,Decreased
Girl,9,4,Sometimes,Sometimes,Sometimes,Most or all of the time,Most or all of the time,Maintained,Increased,Maintained,Maintained
Boy,9,4,Sometimes,Sometimes,Most or all of the time,Sometimes,Sometimes,Maintained,Decreased,Maintained,Decreased
Girl,9,4,Sometimes,Most or all of the time,Sometimes,Sometimes,Most or all of the time,Increased,Maintained,Maintained,Maintained
Girl,9,4,Sometimes,Most or all of the time,A little or none of the time,Sometimes,Sometimes,Increased,Increased,Maintained,Decreased
Girl,10,4,Sometimes,Sometimes,A little or none of the time,Sometimes,Sometimes,Maintained,Increased,Maintained,Increased
Girl,9,4,Sometimes,Most or all of the time,A little or none of the time,Sometimes,Most or all of the time,Increased,Increased,Maintained,Increased
Boy,9,NA,Sometimes,Most or all of the time,A little or none of the time,Sometimes,Most or all of the time,Increased,Increased,Maintained,Maintained
Boy,9,4,A little or none of the time,Sometimes,Sometimes,Sometimes,Most or all of the time,Increased,Maintained,Maintained,Maintained
Boy,10,NA,Sometimes,Most or all of the time,Sometimes,Most or all of the time,Most or all of the time,Increased,Increased,Maintained,Maintained
Boy,9,4,Most or all of the time,Most or all of the time,Sometimes,Sometimes,Most or all of the time,Maintained,Maintained,Maintained,Maintained
Girl,9,4,Most or all of the time,Most or all of the time,Most or all of the time,Most or all of the time,Most or all of the time,Maintained,Maintained,Maintained,Maintained
Prefer not to answer,9,4,Sometimes,A little or none of the time,Sometimes,Most or all of the time,Most or all of the time,Decreased,Increased,Maintained,Decreased
Boy,9,4,Sometimes,Most or all of the time,Sometimes,Sometimes,Most or all of the time,Increased,Maintained,Maintained,Increased
Boy,10,4,Most or all of the time,Sometimes,Most or all of the time,Most or all of the time,Most or all of the time,Decreased,Maintained,Maintained,Maintained
NA,NA,NA,Sometimes,Sometimes,A little or none of the time,Sometimes,Sometimes,Maintained,Increased,Maintained,Decreased
NA,NA,NA,Most or all of the time,Sometimes,NA,Most or all of the time,NA,Decreased,NA,NA,NA
Boy,9,4,A little or none of the time,Sometimes,A little or none of the time,Most or all of the time,Most or all of the time,Increased,Increased,Maintained,Increased
Girl,8,3,Most or all of the time,Most or all of the time,Sometimes,A little or none of the time,Sometimes,Maintained,Decreased,Maintained,Increased
Girl,8,3,Sometimes,Sometimes,Most or all of the time,Most or all of the time,A little or none of the time,Maintained,Maintained,Maintained,Maintained
NA,9,3,Most or all of the time,Most or all of the time,Sometimes,A little or none of the time,Most or all of the time,Maintained,Decreased,Maintained,Decreased
Girl,8,3,Sometimes,Most or all of the time,Most or all of the time,Most or all of the time,Most or all of the time,Increased,Maintained,Maintained,Increased
Girl,8,3,Sometimes,A little or none of the time,Sometimes,Sometimes,Sometimes,Decreased,Maintained,Maintained,Decreased
Girl,8,3,Sometimes,Sometimes,Sometimes,Sometimes,Most or all of the time,Maintained,Maintained,Decreased,Maintained
Prefer not to answer,8,3,A little or none of the time,A little or none of the time,Sometimes,Sometimes,A little or none of the time,Maintained,Maintained,Increased,Maintained
Girl,NA,NA,A little or none of the time,Sometimes,A little or none of the time,Most or all of the time,Sometimes,Increased,Increased,Increased,Increased
Girl,8,3,Sometimes,Most or all of the time,A little or none of the time,Sometimes,Sometimes,Increased,Increased,Increased,Increased
Girl,8,3,Sometimes,Most or all of the time,Sometimes,Sometimes,Sometimes,Increased,Maintained,Maintained,Maintained
Boy,9,3,Sometimes,Most or all of the time,Most or all of the time,Sometimes,Most or all of the time,Increased,Decreased,Maintained,Increased
Boy,8,3,Sometimes,NA,A little or none of the time,Sometimes,A little or none of the time,NA,Increased,Maintained,NA
Girl,9,3,Sometimes,Most or all of the time,Most or all of the time,Sometimes,Most or all of the time,Increased,Decreased,Maintained,Maintained
Boy,9,3,Sometimes,Most or all of the time,A little or none of the time,Sometimes,Most or all of the time,Increased,Increased,Maintained,Maintained
NA,8,3,Most or all of the time,Most or all of the time,Most or all of the time,Most or all of the time,A little or none of the time,Maintained,Maintained,Increased,Maintained
NA,9,NA,Most or all of the time,Sometimes,A little or none of the time,Most or all of the time,Most or all of the time,Decreased,Increased,Maintained,Increased
Boy,8,3,Sometimes,Sometimes,A little or none of the time,A little or none of the time,Sometimes,Maintained,Maintained,Increased,Maintained
Girl,8,3,A little or none of the time,Sometimes,A little or none of the time,Sometimes,Most or all of the time,Increased,Increased,Maintained,Increased
Boy,9,3,Sometimes,Sometimes,Sometimes,A little or none of the time,Most or all of the time,Maintained,Decreased,Decreased,NA
Boy,10,3,Most or all of the time,Most or all of the time,Most or all of the time,Sometimes,Sometimes,Maintained,Decreased,Increased,Decreased
Girl,8,3,Most or all of the time,Most or all of the time,Sometimes,Sometimes,Most or all of the time,Maintained,Maintained,Maintained,Increased
Girl,8,NA,Most or all of the time,Most or all of the time,A little or none of the time,Most or all of the time,Sometimes,Maintained,Increased,Maintained,Maintained
Boy,13,5,Most or all of the time,Most or all of the time,Most or all of the time,Most or all of the time,Most or all of the time,Maintained,Maintained,Maintained,Maintained
Girl,10,5,Sometimes,Sometimes,A little or none of the time,Sometimes,Most or all of the time,Maintained,Increased,Decreased,Maintained
Boy,10,5,Most or all of the time,Most or all of the time,A little or none of the time,Sometimes,A little or none of the time,Maintained,Increased,Increased,Maintained
Girl,10,5,Sometimes,Most or all of the time,Most or all of the time,Sometimes,Most or all of the time,Increased,Decreased,Maintained,Maintained
Girl,11,5,Sometimes,Sometimes,Sometimes,Sometimes,Most or all of the time,Maintained,Maintained,Maintained,Increased
Girl,9,3,Sometimes,Most or all of the time,A little or none of the time,Most or all of the time,Most or all of the time,Increased,Increased,Maintained,Maintained
Boy,9,4,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Maintained,Maintained,Maintained,Maintained
Girl,10,4,Most or all of the time,Most or all of the time,A little or none of the time,Sometimes,Sometimes,Maintained,Increased,Increased,Increased
Girl,10,4,Most or all of the time,Most or all of the time,Most or all of the time,Sometimes,Most or all of the time,Maintained,Decreased,Maintained,Maintained
Boy,10,4,Sometimes,Sometimes,Sometimes,Sometimes,A little or none of the time,Maintained,Maintained,Increased,Maintained
Girl,9,4,Sometimes,Most or all of the time,A little or none of the time,Most or all of the time,Sometimes,Increased,Increased,Increased,Maintained
Girl,9,4,Sometimes,Sometimes,Most or all of the time,Most or all of the time,Most or all of the time,Maintained,Maintained,Maintained,Increased
Boy,9,4,Sometimes,Sometimes,A little or none of the time,Sometimes,Most or all of the time,Maintained,Increased,Maintained,Maintained
Prefer not to answer,NA,NA,NA,Most or all of the time,Sometimes,Sometimes,NA,NA,Maintained,NA,Increased
Girl,10,4,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Maintained,Maintained,Increased,Increased
Boy,9,4,Most or all of the time,Most or all of the time,Most or all of the time,Sometimes,Most or all of the time,Maintained,Decreased,Maintained,Maintained
Girl,9,4,Most or all of the time,Most or all of the time,Sometimes,Most or all of the time,Most or all of the time,Maintained,Increased,Maintained,Increased
Girl,9,4,Sometimes,Sometimes,Sometimes,Sometimes,Most or all of the time,Maintained,Maintained,Maintained,Maintained
Girl,9,4,Most or all of the time,Most or all of the time,Sometimes,Most or all of the time,Sometimes,Maintained,Increased,Increased,Maintained
Prefer not to answer,9,4,Most or all of the time,Most or all of the time,Most or all of the time,Most or all of the time,Most or all of the time,Maintained,Maintained,Maintained,Maintained
Prefer not to answer,9,4,Sometimes,Most or all of the time,Sometimes,Most or all of the time,Most or all of the time,Increased,Increased,Maintained,Maintained
Boy,9,4,A little or none of the time,Sometimes,A little or none of the time,Sometimes,Sometimes,Increased,Increased,Increased,Increased
Boy,9,4,Sometimes,Sometimes,Most or all of the time,Most or all of the time,Sometimes,Maintained,Maintained,Increased,Maintained
Girl,9,4,Sometimes,Most or all of the time,A little or none of the time,Sometimes,Sometimes,Increased,Increased,Increased,Maintained
Girl,9,4,Sometimes,Sometimes,A little or none of the time,A little or none of the time,Most or all of the time,Maintained,Maintained,Maintained,Maintained
Girl,10,4,Sometimes,Most or all of the time,Sometimes,Most or all of the time,Most or all of the time,Increased,Increased,Maintained,Maintained
Girl,10,4,Most or all of the time,Most or all of the time,Sometimes,Most or all of the time,Sometimes,Maintained,Increased,Increased,Maintained
Girl,10,4,Sometimes,Sometimes,A little or none of the time,Sometimes,Most or all of the time,Maintained,Increased,Maintained,Maintained
Boy,8,3,Sometimes,Sometimes,Sometimes,Sometimes,Most or all of the time,Maintained,Maintained,Decreased,Decreased
Prefer not to answer,9,3,Most or all of the time,Most or all of the time,Most or all of the time,Most or all of the time,Most or all of the time,Maintained,Maintained,Maintained,Maintained
Girl,9,3,NA,Sometimes,Sometimes,Most or all of the time,Sometimes,NA,Increased,Increased,Increased
NA,9,3,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Maintained,Maintained,Maintained,Maintained
Girl,8,3,Most or all of the time,Most or all of the time,Sometimes,Most or all of the time,Most or all of the time,Maintained,Increased,Maintained,Increased
Girl,8,3,Sometimes,Most or all of the time,A little or none of the time,Most or all of the time,Most or all of the time,Increased,Increased,Maintained,Maintained
Boy,9,3,Sometimes,Sometimes,Sometimes,Most or all of the time,Most or all of the time,Maintained,Increased,Decreased,Decreased
Girl,8,3,Sometimes,Sometimes,Most or all of the time,Most or all of the time,Most or all of the time,Maintained,Maintained,Maintained,Maintained
Girl,9,3,A little or none of the time,A little or none of the time,Sometimes,Sometimes,NA,Maintained,Maintained,NA,Maintained
Boy,9,3,Most or all of the time,Most or all of the time,A little or none of the time,Most or all of the time,A little or none of the time,Maintained,Increased,Increased,Maintained
Boy,9,3,Most or all of the time,Most or all of the time,Sometimes,Most or all of the time,Most or all of the time,Maintained,Increased,Maintained,Increased
Boy,9,3,Most or all of the time,Sometimes,Sometimes,Sometimes,Most or all of the time,Decreased,Maintained,Maintained,Maintained
Boy,9,3,Sometimes,Most or all of the time,Sometimes,Sometimes,Sometimes,Increased,Maintained,Increased,Increased
Girl,9,3,Most or all of the time,Sometimes,Sometimes,Sometimes,Most or all of the time,Decreased,Maintained,Maintained,Increased
Prefer not to answer,9,3,Sometimes,Most or all of the time,Most or all of the time,Most or all of the time,Most or all of the time,Increased,Maintained,Maintained,Maintained
Girl,9,3,Sometimes,Most or all of the time,Sometimes,Most or all of the time,Most or all of the time,Increased,Increased,Maintained,Increased
Girl,9,3,Sometimes,Most or all of the time,A little or none of the time,Sometimes,Most or all of the time,Increased,Increased,Decreased,Increased
Girl,8,3,Most or all of the time,Most or all of the time,Sometimes,Most or all of the time,Most or all of the time,Maintained,Increased,Maintained,Maintained
Girl,9,3,Most or all of the time,Sometimes,Sometimes,Sometimes,Most or all of the time,Decreased,Maintained,Maintained,Decreased
Girl,9,3,Sometimes,Most or all of the time,A little or none of the time,Sometimes,Most or all of the time,Increased,Increased,Maintained,Maintained
Girl,8,3,Sometimes,Most or all of the time,A little or none of the time,A little or none of the time,Most or all of the time,Increased,Maintained,Maintained,NA
Girl,8,3,Sometimes,A little or none of the time,Most or all of the time,Sometimes,Most or all of the time,Decreased,Decreased,Maintained,Decreased
Prefer not to answer,9,3,A little or none of the time,Sometimes,Sometimes,Sometimes,A little or none of the time,Increased,Maintained,Increased,Maintained
NA,9,3,Most or all of the time,Most or all of the time,Sometimes,Most or all of the time,Most or all of the time,Maintained,Increased,Maintained,Maintained
Girl,9,3,Sometimes,Sometimes,A little or none of the time,Most or all of the time,Sometimes,Maintained,Increased,Increased,Decreased
Boy,9,3,Most or all of the time,Most or all of the time,Sometimes,Most or all of the time,Most or all of the time,Maintained,Increased,Maintained,Increased
Girl,8,3,Most or all of the time,Most or all of the time,Sometimes,Sometimes,Most or all of the time,Maintained,Maintained,Maintained,Decreased
Girl,8,3,Sometimes,Sometimes,Most or all of the time,Most or all of the time,Most or all of the time,Maintained,Maintained,Maintained,Maintained
Girl,8,3,Sometimes,Sometimes,Sometimes,Sometimes,Most or all of the time,Maintained,Maintained,Maintained,Maintained
Boy,9,3,Sometimes,Sometimes,Sometimes,Sometimes,Most or all of the time,Maintained,Maintained,Maintained,Decreased
Girl,8,3,Most or all of the time,Most or all of the time,Sometimes,Sometimes,Sometimes,Maintained,Maintained,Increased,Maintained
Boy,9,3,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Maintained,Maintained,Increased,Maintained
Not listed (may specify here),8,3,Sometimes,Sometimes,Most or all of the time,Most or all of the time,Most or all of the time,Maintained,Maintained,Maintained,Maintained
Girl,8,3,Most or all of the time,Most or all of the time,Sometimes,Sometimes,Most or all of the time,Maintained,Maintained,Maintained,Maintained
Girl,8,3,Sometimes,Sometimes,A little or none of the time,Most or all of the time,Most or all of the time,Maintained,Increased,Maintained,Maintained
Girl,8,3,Sometimes,Sometimes,A little or none of the time,A little or none of the time,Most or all of the time,Maintained,Maintained,Maintained,Maintained
Boy,9,3,Sometimes,Sometimes,Most or all of the time,Most or all of the time,Most or all of the time,Maintained,Maintained,Maintained,Increased
Girl,10,4,A little or none of the time,A little or none of the time,A little or none of the time,A little or none of the time,Most or all of the time,Maintained,Maintained,Maintained,Maintained
Girl,9,4,Most or all of the time,Most or all of the time,Sometimes,Sometimes,Most or all of the time,Maintained,Maintained,Maintained,Maintained
Girl,9,4,NA,NA,NA,NA,Most or all of the time,NA,NA,NA,NA
Girl,10,4,Most or all of the time,A little or none of the time,Most or all of the time,Sometimes,Sometimes,Decreased,Decreased,Decreased,Increased
Boy,10,4,Sometimes,Most or all of the time,Most or all of the time,Sometimes,Sometimes,Increased,Decreased,Increased,Maintained
Boy,9,4,Sometimes,Most or all of the time,Most or all of the time,Most or all of the time,Sometimes,Increased,Maintained,Maintained,Maintained
Boy,10,4,Sometimes,Most or all of the time,Most or all of the time,Most or all of the time,Most or all of the time,Increased,Maintained,Maintained,Maintained
Girl,11,5,Sometimes,Sometimes,Sometimes,Sometimes,Most or all of the time,Maintained,Maintained,Maintained,Maintained
Boy,10,4,Sometimes,Sometimes,Most or all of the time,Most or all of the time,A little or none of the time,Maintained,Maintained,Increased,Maintained
Girl,9,4,A little or none of the time,A little or none of the time,Sometimes,Sometimes,Most or all of the time,Maintained,Maintained,Maintained,Increased
Boy,10,4,Sometimes,Most or all of the time,Most or all of the time,Most or all of the time,Most or all of the time,Increased,Maintained,Maintained,Increased
Girl,9,4,Most or all of the time,Sometimes,Sometimes,Most or all of the time,Most or all of the time,Decreased,Increased,Maintained,Increased
Girl,9,4,Sometimes,Most or all of the time,Most or all of the time,Most or all of the time,Most or all of the time,Increased,Maintained,Maintained,Maintained
NA,10,4,Sometimes,Most or all of the time,Sometimes,Most or all of the time,Sometimes,Increased,Increased,Increased,Increased
Boy,10,4,A little or none of the time,Sometimes,Sometimes,Most or all of the time,A little or none of the time,Increased,Increased,Maintained,Increased
Girl,10,4,Sometimes,Most or all of the time,Sometimes,Most or all of the time,A little or none of the time,Increased,Increased,Increased,Maintained
Prefer not to answer,NA,NA,Most or all of the time,Most or all of the time,Most or all of the time,Sometimes,Sometimes,Maintained,Decreased,Increased,Maintained
Girl,9,4,Most or all of the time,Most or all of the time,Sometimes,Most or all of the time,Most or all of the time,Maintained,Increased,Maintained,Maintained
Boy,10,4,Sometimes,Sometimes,Sometimes,Most or all of the time,A little or none of the time,Maintained,Increased,Maintained,Maintained
Girl,9,4,Sometimes,NA,A little or none of the time,NA,NA,NA,NA,NA,Increased
NA,10,4,A little or none of the time,A little or none of the time,Most or all of the time,Most or all of the time,Sometimes,Maintained,Maintained,Maintained,Decreased
Boy,9,4,Most or all of the time,Most or all of the time,A little or none of the time,Sometimes,Most or all of the time,Maintained,Increased,Maintained,Maintained
Boy,10,4,Sometimes,Most or all of the time,A little or none of the time,Sometimes,Most or all of the time,Increased,Increased,Maintained,Increased
Boy,10,4,Sometimes,Sometimes,A little or none of the time,Sometimes,Most or all of the time,Maintained,Increased,Maintained,Maintained
Girl,10,4,NA,NA,NA,NA,Most or all of the time,NA,NA,Maintained,NA
Girl,10,4,Sometimes,Sometimes,Most or all of the time,Most or all of the time,A little or none of the time,Maintained,Maintained,Maintained,Maintained
